id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_40_08_1,d_main_40_08,Monologue,Locale_MainScenario:d_main_40_08_1,False,WhaleyBack,black,black,1.0,bgm_chapter40_field_turningpoint_b,,,liberalio,1,idle,rapi_red,13,idle,maxwell_p,15,worry,laplace_p,17,idle,drake_p,19,idle
d_main_40_08_2,d_main_40_08,Monologue,Locale_MainScenario:d_main_40_08_2,False,,black,black,1.0,,,,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_3,d_main_40_08,Monologue,Locale_MainScenario:d_main_40_08_3,False,,black,black,1.0,,,,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_4,d_main_40_08,Monologue,Locale_MainScenario:d_main_40_08_4,False,,black,black,1.0,,,,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_5,d_main_40_08,Monologue,Locale_MainScenario:d_main_40_08_5,False,,black,black,1.0,,,,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_6,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_6,False,,1300,130,1.0,,,,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_7,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_7,True,,130,130,1.0,,rapi_red,rapi_red,,1,idle,,13,no,,15,worry,,17,idle,,19,idle
d_main_40_08_8,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_8,False,,130,130,1.0,,rapi_red,,,1,idle,,13,no,,15,worry,,17,idle,,19,idle
d_main_40_08_9,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_9,False,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,no,,15,worry,,17,idle,,19,idle
d_main_40_08_10,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_10,True,,L_150,L_150,1.0,,maxwell_p,maxwell_p,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_11,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_11,False,,L_150,L_150,1.0,,maxwell_p,,,1,idle,,13,idle,,15,worry,,17,idle,,19,idle
d_main_40_08_12,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_12,True,,L_150,L_1500,1.0,,maxwell_p,maxwell_p,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_13,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_13,True,,L_1500,S_1700,1.0,,laplace_p,laplace_p,,1,idle,,13,idle,,15,rage,,17,surprise_02,,19,angry
d_main_40_08_14,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_14,True,,S_1700,L_1900,1.0,,drake_p,drake_p,,1,idle,,13,idle,,15,rage,,17,surprise_02,,19,angry
d_main_40_08_15,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_15,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,surprise_02,,19,angry
d_main_40_08_16,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_16,True,,S_100,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_17,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_17,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_18,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_18,False,,S_10,S_10,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_19,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_19,False,,S_10,S_10,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_20,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_20,False,,S_10,S_10,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_21,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_21,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_22,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_22,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_23,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_23,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_24,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_24,True,,S_10,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_25,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_25,False,,S_100,S_100,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
