id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_subquest_1441_1,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_1,True,neon,5,idle,anis,3,idle,rapi,1,idle,cinderella,13,idle,CrystalField_1,13,13,1.0,bgm_frostpillar,,,,,
d_subquest_1441_2,d_subquest_1441,Monologue,cinderella,,Locale_SubScenario:d_subquest_1441_2,False,,5,idle,,3,idle,,1,idle,,13,idle,,13,S_130,2.0,,,,,,
d_subquest_1441_3,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_3,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_4,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_4,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_5,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_5,True,,5,surprise,,3,idle,,1,idle,,13,idle,,S_50,S_50,1.0,,,,,,
d_subquest_1441_6,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_6,True,,5,surprise,,3,idle,,1,idle,,13,idle,,S_50,30,1.0,,,,,,
d_subquest_1441_7,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_7,True,,5,surprise,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_8,d_subquest_1441,Self,cinderella,,Locale_SubScenario:d_subquest_1441_8,False,,5,surprise,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_9,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_9,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_10,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_10,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_11,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_11,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_12,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_12,True,,5,idle,,3,idle,,1,idle,,13,idle,,30,4,1.0,,,,,,
d_subquest_1441_13,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_13,True,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,,,,,,
d_subquest_1441_14,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_14,True,,5,delight,,3,idle,,1,idle,,13,idle,,4,4,1.0,,,,,,
d_subquest_1441_15,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_15,True,,5,delight,,3,idle,,1,idle,,13,surprise,,S_130,S_130,1.0,,,,,,
d_subquest_1441_16,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_16,True,,5,idle,,3,idle,,1,idle,,13,surprise,,S_50,S_50,1.0,,,,,,
d_subquest_1441_17,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_17,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_1300,1.0,,,,,,
d_subquest_1441_18,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_18,True,,5,idle,,3,no,,1,idle,,13,idle,,30,30,1.0,,,,,,
d_subquest_1441_19,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_19,True,,5,idle,,3,void,,1,idle,,13,angry,,S_1300,S_130,1.0,,,,,,
d_subquest_1441_20,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_20,True,,5,idle,,3,void,,1,idle,,13,angry,,S_130,S_130,1.0,,,,,,
d_subquest_1441_21,d_subquest_1441,Monologue,cinderella,,Locale_SubScenario:d_subquest_1441_21,False,,5,idle,,3,void,,1,idle,,13,angry,,S_130,12,2.0,,cinderella,,,,
d_subquest_1441_22,d_subquest_1441,Self,cinderella,,Locale_SubScenario:d_subquest_1441_22,False,,5,idle,,3,void,,1,idle,,,,,12,2,1.0,,,,,,
d_subquest_1441_23,d_subquest_1441,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1441_23,True,,5,idle,,3,void,,1,idle,,,,,2,2,1.0,,,,,,
d_subquest_1441_24,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_24,True,,5,idle,,3,idle,,1,idle,,,,,2,2,1.0,,,,,,
d_subquest_1441_25,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_25,True,,5,idle,,3,idle,,1,idle,,,,,2,4,1.0,,,,,,
d_subquest_1441_26,d_subquest_1441,Narration,cinderella,,Locale_SubScenario:d_subquest_1441_26,False,,5,idle,,3,void,,1,idle,cinderella,13,idle,,15,13,2.0,,,black,,,
d_subquest_1441_27,d_subquest_1441,Monologue,cinderella,,Locale_SubScenario:d_subquest_1441_27,False,,5,idle,,3,void,,1,idle,,13,idle,,13,S_130,1.0,,,,,,
d_subquest_1441_28,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_28,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_29,d_subquest_1441,Self,cinderella,,Locale_SubScenario:d_subquest_1441_29,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_30,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_30,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_31,d_subquest_1441,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1441_31,True,,5,idle,,3,void,,1,think,,13,idle,,10,10,1.0,,,,,,
d_subquest_1441_32,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_32,True,,5,idle,,3,void,,1,think,,13,angry,,S_130,S_130,1.0,,,,,,
d_subquest_1441_33,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_33,True,,5,idle,,3,void,,1,think,,13,angry,,S_130,S_130,1.0,,,,,,
d_subquest_1441_34,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_34,True,,5,surprise,,3,void,,1,idle,,13,angry,,S_50,S_50,1.0,,,,,,
d_subquest_1441_35,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_35,True,,5,surprise,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_36,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_36,True,,5,idle,,3,sad,,1,idle,,13,idle,,30,30,1.0,,,,,,
d_subquest_1441_37,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_37,True,,5,idle,,3,sad,,1,idle,,13,idle,,30,30,1.0,,,,,,
d_subquest_1441_38,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_38,True,,5,idle,,3,angry,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_39,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_39,True,,5,idle,,3,angry,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_40,d_subquest_1441,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1441_40,True,,5,idle,,3,angry,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,
d_subquest_1441_41,d_subquest_1441,Speech,anis,anis,Locale_SubScenario:d_subquest_1441_41,True,,5,angry,,3,angry,,1,idle,,13,idle,,30,4,1.0,,,,,,
d_subquest_1441_42,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_42,True,,5,angry,,3,angry,,1,idle,,13,idle,,4,4,1.0,,,,,,
d_subquest_1441_43,d_subquest_1441,Speech,neon,neon,Locale_SubScenario:d_subquest_1441_43,True,,5,angry,,3,angry,,1,idle,,13,idle,,4,4,1.0,,,,,,
