id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id
d_main_14af_03_1,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_1,True,enikk,1,special,EnikkRoom,1,1,1.0,bgm_story_enikksroom,,,,,,,
d_main_14af_03_2,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_2,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_3,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_3,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_4,d_main_14af_03,Self,enikk,Self,Locale_MainScenario:d_main_14af_03_4,False,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_5,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_5,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_6,d_main_14af_03,Monologue,enikk,,Locale_MainScenario:d_main_14af_03_6,False,,1,special,,black,black,1.0,,,,,,,,
d_main_14af_03_7,d_main_14af_03,Monologue,enikk,,Locale_MainScenario:d_main_14af_03_7,False,,1,special,,black,black,1.0,,,,,,,,
d_main_14af_03_8,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_8,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_9,d_main_14af_03,Self,enikk,Self,Locale_MainScenario:d_main_14af_03_9,False,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_10,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_10,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_11,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_11,True,,1,special,,1,10,2.0,,,,,,,,
d_main_14af_03_12,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_12,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_13,d_main_14af_03,Self,enikk,Self,Locale_MainScenario:d_main_14af_03_13,False,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_14,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_14,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_15,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_15,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_16,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_16,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_17,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_17,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_18,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_18,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_19,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_19,False,,1,special,,10,10,1.0,,d_main_14af_03_22,,,,,,
d_main_14af_03_20,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_20,False,,1,special,,10,10,1.0,,d_main_14af_03_22,,,,,,
d_main_14af_03_21,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_21,False,,1,special,,10,10,1.0,,d_main_14af_03_22,,,,,,
d_main_14af_03_22,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_22,True,,1,special,,10,1,2.0,,,,,,,,
d_main_14af_03_23,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_23,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_24,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_24,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_25,d_main_14af_03,Self,enikk,Self,Locale_MainScenario:d_main_14af_03_25,False,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_26,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_26,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_27,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_27,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_28,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_28,True,,1,special,,1,1,1.0,,,,,,,,
d_main_14af_03_29,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_29,True,,1,special,,1,10,2.0,,,,,,,,
d_main_14af_03_30,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_30,False,,1,special,,10,10,1.0,,d_main_14af_03_33,,,,,,
d_main_14af_03_31,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_31,False,,1,special,,10,10,1.0,,d_main_14af_03_33,,,,,,
d_main_14af_03_32,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_32,False,,1,special,,10,10,1.0,,d_main_14af_03_36,,,,,,
d_main_14af_03_33,d_main_14af_03,Speech,enikk,enikk,Locale_MainScenario:d_main_14af_03_33,True,,1,special,,10,10,1.0,,,,,,,,
d_main_14af_03_34,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_34,False,,1,special,,10,10,1.0,,d_main_14af_03_36,,,,,,
d_main_14af_03_35,d_main_14af_03,Choice,enikk,,Locale_MainScenario:d_main_14af_03_35,False,,1,special,,10,10,1.0,,d_main_14af_03_36,,,,,,
