id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,play_sound,set_camera_shake,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_37_08_s_1,d_main_37_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_s_1,True,rapi_red,13,idle,laplace,15,angry,drake,17,idle,EggArea,13,13,1.0,bgm_chapter37_field_swarmnest,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_2,d_main_37_08_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_08_s_2,True,,13,idle,,15,angry,,17,idle,,13,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_3,d_main_37_08_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_08_s_3,True,,13,idle,,15,angry,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_4,d_main_37_08_s,Self,laplace,,Locale_MainScenario:d_main_37_08_s_4,False,,13,idle,,15,angry,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_5,d_main_37_08_s,Speech,drake,drake,Locale_MainScenario:d_main_37_08_s_5,True,,13,idle,,15,angry,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_6,d_main_37_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_s_6,True,,13,idle,,15,angry,,17,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_7,d_main_37_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_s_7,True,,13,idle,,15,angry,,17,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_8,d_main_37_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_37_08_s_8,False,,13,idle,,15,angry,,17,idle,,13,130,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_9,d_main_37_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_37_08_s_9,False,,13,idle,,15,angry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_10,d_main_37_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_37_08_s_10,False,,13,idle,,15,angry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_37_08_s_11,d_main_37_08_s,Self,rapi_red,,Locale_MainScenario:d_main_37_08_s_11,False,,13,idle,,15,angry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,
