id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_main_36_01_1,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_1,True,grave_p,7,idle,rapi_red,5,idle,leviathan,1,angry,cinderella,3,idle,laplace,13,angry,maxwell,15,idle,drake,17,idle,Bog,12,12,1.0,bgm_story_empathize,
d_main_36_01_2,d_main_36_01,Speech,laplace,laplace,Locale_MainScenario:d_main_36_01_2,True,,7,idle,,5,idle,,1,angry,,3,idle,,13,angry,,15,idle,,17,idle,,12,12,1.0,,
d_main_36_01_3,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_3,True,,7,idle,,5,idle,,1,angry,,3,idle,,13,angry,,15,idle,,17,idle,,12,12,1.0,,
d_main_36_01_4,d_main_36_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_01_4,True,,7,idle,,5,idle,,1,angry,,3,idle,,13,angry,,15,idle,,17,idle,,16,16,1.0,,
d_main_36_01_5,d_main_36_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_01_5,True,,7,idle,,5,idle,,1,angry,,3,idle,,13,angry,,15,idle,,17,idle,,16,16,1.0,,
d_main_36_01_6,d_main_36_01,Speech,maxwell,leviathan,Locale_MainScenario:d_main_36_01_6,False,,7,idle,,5,idle,,3,sad_01,,1,idle,,13,angry,,15,idle,,17,idle,,16,16,1.0,,
d_main_36_01_7,d_main_36_01,Speech,drake,drake,Locale_MainScenario:d_main_36_01_7,True,,7,idle,,5,idle,,3,sad_01,,1,idle,,13,angry,,15,idle,,17,idle,,16,170,1.3,,
d_main_36_01_8,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_8,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,angry,,15,idle,,17,idle,,S_30,S_30,1.3,,
d_main_36_01_9,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_9,False,,7,idle,,5,idle,,3,think_01,,1,idle,,13,angry,,15,idle,,17,idle,,S_30,S_30,1.0,,
d_main_36_01_10,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_10,True,,7,idle,,5,idle,,3,think_01,,1,idle,,13,angry,,15,idle,,17,idle,,S_30,S_30,1.0,,
d_main_36_01_11,d_main_36_01,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_01_11,True,,7,idle,,5,idle,,3,think_01,,1,idle,,13,angry,,15,idle,,17,idle,,S_30,2,1.3,,
d_main_36_01_12,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_12,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_13,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_13,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_14,d_main_36_01,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_01_14,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_15,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_15,True,,7,idle,,5,idle,,3,surprise,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_16,d_main_36_01,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_01_16,True,,7,idle,,5,idle,,3,surprise,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_17,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_17,False,,7,idle,,5,idle,,3,surprise,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.3,,
d_main_36_01_18,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_18,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_19,d_main_36_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_01_19,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,angry,,15,idle,,17,idle,,2,2,1.0,,
d_main_36_01_20,d_main_36_01,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_01_20,True,,7,idle,,5,idle,,3,angry,,1,"expression_0,idle_alt",,13,angry,,15,idle,,17,idle,,2,S_10,1.3,,
