id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_16_09_e_1,d_main_16_09_e,Speech,jackal,jackal,Locale_MainScenario:d_main_16_09_e_1,True,IceLand_02,4,4,1.0,bgm_secondhand,,,,,,,jackal,4,crazy,,,,,,anis,12,idle,,rapi,14,idle,,neon,16,idle,
d_main_16_09_e_2,d_main_16_09_e,Speech,jackal,jackal,Locale_MainScenario:d_main_16_09_e_2,True,,4,4,1.0,,,,,,,,,4,crazy,,,,,,,12,idle,,,14,idle,,,16,idle,
d_main_16_09_e_3,d_main_16_09_e,Speech,neon,neon,Locale_MainScenario:d_main_16_09_e_3,True,,4,15,1.0,,,,,,,,,4,crazy,,,,,,,12,idle,,,14,idle,,,16,surprise,
d_main_16_09_e_4,d_main_16_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_09_e_4,True,,15,15,1.0,,,,,,,,,4,idle,,,,,,,12,idle,,,14,idle,,,16,surprise,
d_main_16_09_e_5,d_main_16_09_e,Speech,neon,neon,Locale_MainScenario:d_main_16_09_e_5,True,RuinIndoor,19,16,2.0,none,black,,viper,6,idle,,,4,idle,,crow,2,idle,,,12,idle,,,14,idle,,,16,surprise,
d_main_16_09_e_6,d_main_16_09_e,Speech,anis,anis,Locale_MainScenario:d_main_16_09_e_6,True,,16,12,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,surprise,
d_main_16_09_e_7,d_main_16_09_e,Choice,,,Locale_MainScenario:d_main_16_09_e_7,False,,12,12,1.0,,,d_main_16_09_e_9,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,
d_main_16_09_e_8,d_main_16_09_e,Choice,,,Locale_MainScenario:d_main_16_09_e_8,False,,12,12,1.0,,,d_main_16_09_e_11,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,
d_main_16_09_e_9,d_main_16_09_e,Monologue,,,Locale_MainScenario:d_main_16_09_e_9,False,,12,XS_100,1.0,,,,,6,idle,viper,,4,idle,jackal,,2,idle,crow,,12,void,anis,,14,idle,rapi,,16,idle,neon
d_main_16_09_e_10,d_main_16_09_e,Monologue,,,Locale_MainScenario:d_main_16_09_e_10,False,,XS_100,XS_100,1.0,,,d_main_16_09_e_14,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_11,d_main_16_09_e,Monologue,,,Locale_MainScenario:d_main_16_09_e_11,False,,12,XS_90,1.0,,,,,6,idle,viper,,4,idle,jackal,,2,idle,crow,,12,void,anis,,14,idle,rapi,,16,idle,neon
d_main_16_09_e_12,d_main_16_09_e,Monologue,,,Locale_MainScenario:d_main_16_09_e_12,False,,XS_90,XS_90,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_13,d_main_16_09_e,Self,,Self,Locale_MainScenario:d_main_16_09_e_13,False,,XS_90,XS_90,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_14,d_main_16_09_e,Speech,neon,neon,Locale_MainScenario:d_main_16_09_e_14,True,,16,16,1.0,,,,viper,6,idle,,jackal,4,idle,,crow,2,idle,,anis,12,void,,rapi,14,idle,,neon,16,idle,
d_main_16_09_e_15,d_main_16_09_e,Speech,neon,neon,Locale_MainScenario:d_main_16_09_e_15,True,,16,16,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_16,d_main_16_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_09_e_16,True,,16,15,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_17,d_main_16_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_09_e_17,True,,15,140,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,think,,,16,idle,
d_main_16_09_e_18,d_main_16_09_e,Speech,anis,anis,Locale_MainScenario:d_main_16_09_e_18,True,,140,120,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,think,,,16,idle,
d_main_16_09_e_19,d_main_16_09_e,Speech,anis,anis,Locale_MainScenario:d_main_16_09_e_19,True,,120,120,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,worry,,,14,idle,,,16,idle,
d_main_16_09_e_20,d_main_16_09_e,Speech,anis,anis,Locale_MainScenario:d_main_16_09_e_20,True,,120,1,2.0,bgm_story_stormbreakers,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_21,d_main_16_09_e,Monologue,,,Locale_MainScenario:d_main_16_09_e_21,False,,1,20,1.5,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_22,d_main_16_09_e,Monologue,,,Locale_MainScenario:d_main_16_09_e_22,False,,20,20,1.0,,,,,6,idle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,16,idle,
d_main_16_09_e_23,d_main_16_09_e,Speech,crow,crow,Locale_MainScenario:d_main_16_09_e_23,True,,20,20,1.0,,,,,6,idle,,,4,idle,,,2,surprise,,,12,void,,,14,idle,,,16,idle,
