id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_subquest_1261_e_1,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_1,True,CityForest_01,13,13,1.0,bgm_emergency,,,,rapi,5,idle,,neon,3,idle,,anis,1,void,,refugee,13,idle,
d_subquest_1261_e_2,d_subquest_1261_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_e_2,True,,13,12,2.0,,,,,,5,idle,,,3,idle,,,1,worry,,,13,idle,
d_subquest_1261_e_3,d_subquest_1261_e,Choice,anis,,Locale_SubScenario:d_subquest_1261_e_3,False,,12,12,1.0,,d_subquest_1261_e_5,,,,5,idle,,,3,idle,,,1,worry,,,13,idle,
d_subquest_1261_e_4,d_subquest_1261_e,Choice,anis,,Locale_SubScenario:d_subquest_1261_e_4,False,,12,12,1.0,,d_subquest_1261_e_5,,,,5,idle,,,3,idle,,,1,worry,,,13,idle,
d_subquest_1261_e_5,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_5,True,,12,12,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,13,idle,
d_subquest_1261_e_6,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_6,True,,12,12,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,13,idle,
d_subquest_1261_e_7,d_subquest_1261_e,Narration,,Narration,Locale_SubScenario:d_subquest_1261_e_7,False,CityForest_02,4,13,2.0,bgm_inark,,black,,,5,idle,rapi,,3,idle,neon,,1,void,anis,,13,idle,refugee
d_subquest_1261_e_8,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_8,True,,13,13,1.0,,,,,rapi,5,idle,,neon,3,idle,,anis,1,void,,refugee,13,idle,
d_subquest_1261_e_9,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_9,True,,13,13,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,13,idle,
d_subquest_1261_e_10,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_10,True,,13,4,2.5,,,,,,5,think,,,3,no,,,1,void,,,13,idle,
d_subquest_1261_e_11,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_11,True,,4,12,1.0,,,,,,5,think,,,3,no,,,1,void,,,13,idle,
d_subquest_1261_e_12,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_12,True,,12,12,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,13,idle,
d_subquest_1261_e_13,d_subquest_1261_e,Self,refugee,Self,Locale_SubScenario:d_subquest_1261_e_13,False,,12,12,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,13,idle,
d_subquest_1261_e_14,d_subquest_1261_e,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_e_14,True,,12,12,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,13,idle,
d_subquest_1261_e_15,d_subquest_1261_e,Narration,,Narration,Locale_SubScenario:d_subquest_1261_e_15,False,,black,black,1.0,,,,sfx_scn_doorclose,,5,idle,,,3,idle,,,1,void,,,16,idle,refugee
d_subquest_1261_e_16,d_subquest_1261_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_e_16,False,,12,1,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,,,
d_subquest_1261_e_17,d_subquest_1261_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_e_17,True,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,,,
d_subquest_1261_e_18,d_subquest_1261_e,Self,anis,Self,Locale_SubScenario:d_subquest_1261_e_18,False,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,void,,,,,
