id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id,set_camera_shake
d_subquest_1104_1,d_subquest_1104,Speech,landcrab,Locale_SubScenario:d_subquest_1104_1,False,raptilion,5,idle,raptilion_me,9,idle,IceLand_02,15,15,1.0,bgm_story_herecomestrouble,,,
d_subquest_1104_2,d_subquest_1104,Speech,squid,Locale_SubScenario:d_subquest_1104_2,False,,5,idle,,9,idle,,15,12,1.0,,,,
d_subquest_1104_3,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_3,False,,5,idle,,9,idle,,12,raptilion_5,1.0,,,,
d_subquest_1104_4,d_subquest_1104,Monologue,,Locale_SubScenario:d_subquest_1104_4,False,,5,idle,,9,idle,,black,black,1.0,,,,
d_subquest_1104_5,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_5,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_6,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_6,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_7,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_7,False,,5,idle,,9,idle,,raptilion_5,15,2.0,,,,
d_subquest_1104_8,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_8,False,,5,idle,,9,idle,,15,12,1.0,,,,
d_subquest_1104_9,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_9,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_10,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_10,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_11,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_11,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_12,d_subquest_1104,Monologue,,Locale_SubScenario:d_subquest_1104_12,False,,5,idle,,9,idle,,raptilion_5,raptilion_9,1.0,,sfx_scn_machinefan,,
d_subquest_1104_13,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_13,False,,5,idle,,9,idle,,raptilion_9,raptilion_5,0.5,,,,
d_subquest_1104_14,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_14,False,,5,idle,,9,idle,,raptilion_5,12,2.0,,,,
d_subquest_1104_15,d_subquest_1104,Speech,landcrab,Locale_SubScenario:d_subquest_1104_15,False,,5,idle,,9,idle,,12,12,1.0,,,,
d_subquest_1104_16,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_16,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_17,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_17,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_18,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_18,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_19,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_19,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_20,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_20,False,,5,idle,,9,idle,,12,15,2.0,,,,
d_subquest_1104_21,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_21,False,,5,idle,,9,idle,,15,15,1.0,,,,
d_subquest_1104_22,d_subquest_1104,Speech,squid,Locale_SubScenario:d_subquest_1104_22,False,,5,idle,,9,idle,,black,black,1.0,,,,
d_subquest_1104_23,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_23,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_24,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_24,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_25,d_subquest_1104,Monologue,,Locale_SubScenario:d_subquest_1104_25,False,,5,idle,,9,idle,,raptilion_5,raptilion_9,1.0,,,,
d_subquest_1104_26,d_subquest_1104,Narration,,Locale_SubScenario:d_subquest_1104_26,False,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,
d_subquest_1104_27,d_subquest_1104,Speech,squid,Locale_SubScenario:d_subquest_1104_27,False,,5,idle,,9,idle,,raptilion_9,15,0.5,,sfx_scn_rapturecry,raptilion_me,
d_subquest_1104_28,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_28,False,,5,idle,,,,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_29,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_29,False,,5,idle,,,,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_30,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_30,False,,5,idle,,,,,raptilion_5,raptilion_5,1.0,,,,
d_subquest_1104_31,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_31,False,,7,idle,,,,,raptilion_5,raptilion_7,1.0,,,,Low_2
d_subquest_1104_32,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_32,False,,9,idle,,,,,raptilion_7,raptilion_9,1.0,,,,Low_2
d_subquest_1104_33,d_subquest_1104,Speech,raptilion,Locale_SubScenario:d_subquest_1104_33,False,,7,idle,,,,,raptilion_9,raptilion_7,1.0,,,,Low_2
