id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake
d_ex_cafe_04_1,d_ex_cafe_04,Narration,Narration,Locale_SuddenStory:d_ex_cafe_04_1,False,Cafe,5,1,2.0,bgm_story_tuffguys,,,,,,,,,,,,,
d_ex_cafe_04_2,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_2,True,,1,1,1.0,,milk,milk,1,idle,,,,,,,,,
d_ex_cafe_04_3,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_3,True,,1,1,1.0,,milk,,1,idle,,,,,,,,,
d_ex_cafe_04_4,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_4,True,,1,1,1.0,,milk,,1,no,,,,,,,,,
d_ex_cafe_04_5,d_ex_cafe_04,Narration,Narration,Locale_SuddenStory:d_ex_cafe_04_5,False,,1,4,2.0,,,,1,no,sfx_scn_autodooropen,,,,,,,,
d_ex_cafe_04_6,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_6,True,,4,4,1.0,,anne,,1,idle,,anne,5,idle,jackal,3,idle,,
d_ex_cafe_04_7,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_7,True,,4,4,1.0,,jackal,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_8,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_8,True,,4,4,1.0,,jackal,,1,idle,,,5,idle,,3,shy_02,,
d_ex_cafe_04_9,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_9,False,,4,1,1.0,,,,1,idle,,,5,idle,,3,shy_02,,
d_ex_cafe_04_10,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_10,True,,1,1,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_11,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_11,True,,1,1,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_12,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_12,False,,1,15,2.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_13,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_13,False,,15,15,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_14,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_14,True,,15,1,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_15,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_15,True,,1,1,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_16,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_16,False,,1,1,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_17,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_17,True,,3,S_30,0.3,,jackal,,1,idle,,,5,idle,,3,shy_01,,
d_ex_cafe_04_18,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_18,False,,10,10,1.0,,,,1,idle,,,5,idle,,3,shy_01,,
d_ex_cafe_04_19,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_19,True,,10,10,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_20,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_20,True,,10,10,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_21,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_21,True,,10,10,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_22,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_22,False,,black,black,1.0,,,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_23,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_23,True,,4,4,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_24,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_24,False,,4,4,1.0,,,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_25,d_ex_cafe_04,Choice,,Locale_SuddenStory:d_ex_cafe_04_25,False,,1,1,1.0,,,,1,good,,,5,idle,,3,idle,d_ex_cafe_04_27,
d_ex_cafe_04_26,d_ex_cafe_04,Choice,,Locale_SuddenStory:d_ex_cafe_04_26,False,,1,1,1.0,,,,1,good,,,5,idle,,3,idle,d_ex_cafe_04_31,
d_ex_cafe_04_27,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_27,True,,1,1,1.0,,milk,,1,surprise,,,5,idle,,3,idle,,
d_ex_cafe_04_28,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_28,False,,1,S_10,2.0,,milk,,1,surprise,,,5,idle,,3,idle,,
