id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_filter_01,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_24_13_1,d_main_24_13,Narration,Narration,Locale_MainScenario:d_main_24_13_1,False,AtlasCage_03,6,2,2.0,bgm_mystery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_2,d_main_24_13,Narration,Narration,Locale_MainScenario:d_main_24_13_2,False,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_3,d_main_24_13,Narration,Narration,Locale_MainScenario:d_main_24_13_3,False,,2,2,1.0,,nihilister_a,2,idle,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_4,d_main_24_13,Narration,Narration,Locale_MainScenario:d_main_24_13_4,False,,2,2,1.0,,,2,idle,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_5,d_main_24_13,Narration,Narration,Locale_MainScenario:d_main_24_13_5,False,,2,2,1.0,,,2,idle,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_6,d_main_24_13,Speech,nihilister_a,Locale_MainScenario:d_main_24_13_6,True,,2,2,1.0,,,2,idle,nihilister_a,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_7,d_main_24_13,Speech,nihilister_a,Locale_MainScenario:d_main_24_13_7,True,,2,1,1.0,,,2,idle,nihilister_a,dorothy,12,think,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_8,d_main_24_13,Speech,dorothy,Locale_MainScenario:d_main_24_13_8,True,,1,1,1.0,,,2,idle,dorothy,,12,think,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_9,d_main_24_13,Speech,nihilister_a,Locale_MainScenario:d_main_24_13_9,True,,1,1,1.0,,,2,idle,nihilister_a,,12,think,,,,,,,,,,,,,,,,,,,,,
d_main_24_13_10,d_main_24_13,Speech,nihilister_a,Locale_MainScenario:d_main_24_13_10,True,,1,1,1.0,,,2,shy,nihilister_a,,12,think,,,,,,,,,,,,,,,,,,,,,
