id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade
d_main_20_03_1,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_1,True,johan,4,idle,dorothy,2,idle_alt,anis,13,idle,neon,15,idle,rapi,17,idle,papillon,19,idle,Desert_02,4,4,1.0,bgm_volcanicnest,,,,,,,,,,,,,,
d_main_20_03_2,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_2,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_3,d_main_20_03,Choice,,,Locale_MainScenario:d_main_20_03_3,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,d_main_20_03_5,,,,,,,,,,,,,
d_main_20_03_4,d_main_20_03,Choice,,,Locale_MainScenario:d_main_20_03_4,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,d_main_20_03_5,,,,,,,,,,,,,
d_main_20_03_5,d_main_20_03,Speech,anis,anis,Locale_MainScenario:d_main_20_03_5,True,,4,idle,,2,idle_alt,,13,void,,15,idle,,17,idle,,19,idle,,14,14,1.0,,,,,,,,,,,,,,,
d_main_20_03_6,d_main_20_03,Speech,neon,neon,Locale_MainScenario:d_main_20_03_6,True,,4,idle,,2,idle_alt,,13,void,,15,surprise,,17,idle,,19,idle,,14,14,1.0,,,,,,,,,,,,,,,
d_main_20_03_7,d_main_20_03,Speech,rapi,rapi,Locale_MainScenario:d_main_20_03_7,True,,4,idle,,2,idle_alt,,13,void,,15,surprise,,17,think,,19,idle,,14,16,2.0,,,,,,,,,,,,,,,
d_main_20_03_8,d_main_20_03,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_03_8,True,,4,idle,,2,think_02,,13,idle,,15,idle,,17,think,,19,idle,,20,20,1.0,,,,,,,,,,,,,,,
d_main_20_03_9,d_main_20_03,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_03_9,True,,4,idle,,2,think_02,,13,idle,,15,idle,,17,idle,,19,idle,,20,20,1.0,,,,,,,,,,,,,,,
d_main_20_03_10,d_main_20_03,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_03_10,True,,4,idle,,2,think_02,,13,idle,,15,idle,,17,idle,,19,idle,,20,20,1.0,,,,,,,,,,,,,,,
d_main_20_03_11,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_11,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,20,L_40,2.0,,,,,,,,,,,,,,,
d_main_20_03_12,d_main_20_03,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_03_12,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,cecil_op_r,OP_rightup,idle,,,,,,,,,,
d_main_20_03_13,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_13,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,OP_rightup,idle,,,,,,,,,,
d_main_20_03_14,d_main_20_03,Narration,,Narration,Locale_MainScenario:d_main_20_03_14,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,none,,,OP_rightup,surprise,cecil_op_r,sfx_scn_over,,,,,,,,
d_main_20_03_15,d_main_20_03,Monologue,,Monologue,Locale_MainScenario:d_main_20_03_15,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_16,d_main_20_03,Speech,rapi,rapi,Locale_MainScenario:d_main_20_03_16,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,angry,,19,idle,,170,170,1.0,,,,,,,,,,,,,,,
d_main_20_03_17,d_main_20_03,Speech,anis,anis,Locale_MainScenario:d_main_20_03_17,True,,4,idle,,2,idle_alt,,13,angry,,15,idle,,17,angry,,19,idle,,170,130,0.3,bgm_story_anotherway,,,,,,,,,,,,,,
d_main_20_03_18,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_18,True,,4,idle,,2,idle_alt,,13,angry,,15,idle,,17,angry,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_19,d_main_20_03,Self,,Self,Locale_MainScenario:d_main_20_03_19,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_20,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_20,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_21,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_21,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_22,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_22,True,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_23,d_main_20_03,Self,,Self,Locale_MainScenario:d_main_20_03_23,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_24,d_main_20_03,Self,,Self,Locale_MainScenario:d_main_20_03_24,False,,4,idle,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_20_03_25,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_25,True,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,4,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_26,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_26,True,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_27,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_27,True,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_28,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_28,True,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_29,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_29,True,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_30,d_main_20_03,Speech,johan,johan,Locale_MainScenario:d_main_20_03_30,True,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_31,d_main_20_03,Self,,Self,Locale_MainScenario:d_main_20_03_31,False,,4,angry,,2,idle_alt,,13,idle,,15,idle,,17,idle,,19,idle,,L_40,L_40,1.0,,,,,,,,,,,,,,,
d_main_20_03_32,d_main_20_03,Narration,,Narration,Locale_MainScenario:d_main_20_03_32,False,,4,angry,,2,idle_alt,,13,angry,,15,surprise,,17,angry,,19,idle,,L_40,4,0.3,,,,,,,sfx_scn_rapturecry,Low_2,,,,,,,
d_main_20_03_33,d_main_20_03,Speech,rapi,rapi,Locale_MainScenario:d_main_20_03_33,True,,4,idle,,2,idle_alt,,13,angry,,15,surprise,,17,angry,,19,idle,,17,170,0.3,,,,,,,,,,,,,,,
d_main_20_03_34,d_main_20_03,Speech,anis,anis,Locale_MainScenario:d_main_20_03_34,True,,4,idle,,2,idle_alt,,13,angry,,15,surprise,,17,angry,,19,idle,,170,130,0.5,,,,,,,,,,,,,,,
d_main_20_03_35,d_main_20_03,Narration,,Narration,Locale_MainScenario:d_main_20_03_35,False,,4,idle,,2,idle_alt,,13,angry,,15,idle,,17,idle,,19,idle,EventScene_Chap_20_01,black,black,1.0,,,,,,,sfx_scn_heavyhit,,johan,dorothy,anis,neon,rapi,papillon,
