id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_goddessofvictory_09_1,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_1,True,GoddessOfVictory,2,L_20,1.0,bgm_story_shopperholic,,,,rupee,2,idle,,,,
d_ex_goddessofvictory_09_2,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_2,True,,L_20,L_20,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_3,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_3,True,,L_20,L_20,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_4,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_4,True,,L_20,L_200,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_5,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_5,True,,L_200,L_200,1.0,,,,,,2,surprise,,,,
d_ex_goddessofvictory_09_6,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_6,True,,L_200,L_200,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_7,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_7,True,,L_200,L_200,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_8,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_8,True,,L_200,L_20,1.0,,,,,,2,shy,,,,
d_ex_goddessofvictory_09_9,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_9,True,,L_20,L_20,1.0,,,,,,2,shy,,,,
d_ex_goddessofvictory_09_10,d_ex_goddessofvictory_09,Self,rupee,,Locale_SuddenStory:d_ex_goddessofvictory_09_10,False,,L_20,L_20,1.0,,,,,,2,shy,,,,
d_ex_goddessofvictory_09_11,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_11,True,,L_20,L_20,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_12,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_12,True,,L_20,L_20,1.0,,,,,,2,idle,,,,
d_ex_goddessofvictory_09_13,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_13,True,,L_20,L_200,1.0,none,,,,,2,surprise,,,,
d_ex_goddessofvictory_09_14,d_ex_goddessofvictory_09,Speech,rupee,unknown,Locale_SuddenStory:d_ex_goddessofvictory_09_14,False,,L_200,L_200,1.0,,,,,,2,surprise,,,,
d_ex_goddessofvictory_09_15,d_ex_goddessofvictory_09,Speech,rupee,unknown,Locale_SuddenStory:d_ex_goddessofvictory_09_15,False,,L_200,L_200,1.0,,,,,,2,surprise,,,,
d_ex_goddessofvictory_09_16,d_ex_goddessofvictory_09,Self,rupee,,Locale_SuddenStory:d_ex_goddessofvictory_09_16,False,,L_200,L_200,1.0,,,,,,2,surprise,,,,
d_ex_goddessofvictory_09_17,d_ex_goddessofvictory_09,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_goddessofvictory_09_17,True,,L_200,XS_1200,1.0,bgm_story_darklord,,,,,2,surprise,guillotine,12,idle,
d_ex_goddessofvictory_09_18,d_ex_goddessofvictory_09,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_goddessofvictory_09_18,True,,XS_1200,XS_1200,1.0,,,,,,2,surprise,,12,delight,
d_ex_goddessofvictory_09_19,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_19,True,,XS_1200,L_200,1.0,,,,,,2,surprise,,12,delight,
d_ex_goddessofvictory_09_20,d_ex_goddessofvictory_09,Speech,rupee,rupee,Locale_SuddenStory:d_ex_goddessofvictory_09_20,True,,L_200,L_200,1.0,,,,,,2,surprise,,12,delight,
