id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake
d_ex_workshop_04_01,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_01,False,centi,1,"expression_0,delight",Workshop,1,1,2.0,bgm_story_inwonderland,,,,,,,,,,,,,
d_ex_workshop_04_02,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_02,True,,1,delight,,1,12,1.0,,epinel,13,idle,,,,,,,,,,
d_ex_workshop_04_03,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_03,True,,1,idle,,12,12,1.0,,,13,idle,,,,,,,,,,
d_ex_workshop_04_04,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_04,True,,1,idle,,12,12,1.0,,,13,idle,,,,,,,,,,
d_ex_workshop_04_05,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_05,True,,1,delight,,12,12,1.0,,,13,idle,,,,,,,,,,
d_ex_workshop_04_06,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_06,True,,1,idle,,12,12,1.0,,,13,think,,,,,,,,,,
d_ex_workshop_04_07,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_07,True,,1,idle,,12,14,1.0,,,13,think,anne,15,shy,,,,,,,
d_ex_workshop_04_08,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_08,True,,1,idle,,14,14,1.0,,,13,think,,15,shy,,,,,,,
d_ex_workshop_04_09,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_09,True,,1,idle,,14,XS_150,1.0,,,13,idle,,15,shy,,,,,,,
d_ex_workshop_04_10,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_10,True,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,shy,,,,,,,
d_ex_workshop_04_11,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_11,True,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,shy,,,,,,,
d_ex_workshop_04_12,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_12,True,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,delight,,,,,,,
d_ex_workshop_04_13,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_13,False,,1,idle,,1,1,1.0,,,13,idle,,15,delight,,,,,,,
