id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,set_camera_shake,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,set_filter_01
d_main_28_11_e_1,d_main_28_11_e,Speech,anis,anis,Locale_MainScenario:d_main_28_11_e_1,True,neon,5,idle,anis,3,worry,rapi,1,idle,Crystalchunk,2,2,1.0,bgm_enemyclose,,,,,,,,,,,
d_main_28_11_e_2,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_2,True,,5,idle,,3,worry,,1,idle,,2,2,1.0,,,,,,,,,,,,
d_main_28_11_e_3,d_main_28_11_e,Speech,neon,neon,Locale_MainScenario:d_main_28_11_e_3,True,,5,idle,,3,worry,,1,idle,,S_50,S_50,1.0,,,,,,,,,,,,
d_main_28_11_e_4,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_4,True,,5,idle,,3,worry,,1,idle,,10,10,1.0,,,,,,,,,,,,
d_main_28_11_e_5,d_main_28_11_e,Self,,,Locale_MainScenario:d_main_28_11_e_5,False,,5,idle,,3,worry,,1,idle,,10,10,1.0,,,,,,,,,,,,
d_main_28_11_e_6,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_6,True,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,,,
d_main_28_11_e_7,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_7,True,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,,,
d_main_28_11_e_8,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_8,True,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,,,
d_main_28_11_e_9,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_9,True,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,,,
d_main_28_11_e_10,d_main_28_11_e,Speech,anis,anis,Locale_MainScenario:d_main_28_11_e_10,True,,5,idle,,3,idle,,1,idle,,4,4,1.0,,,,,,,,,,,,
d_main_28_11_e_11,d_main_28_11_e,Speech,neon,neon,Locale_MainScenario:d_main_28_11_e_11,True,,5,worry,,3,void,,1,idle,,4,4,1.0,,,,,,,,,,,,
d_main_28_11_e_12,d_main_28_11_e,Self,neon,,Locale_MainScenario:d_main_28_11_e_12,False,,5,worry,,3,void,,1,idle,,4,1,1.0,,,,,,,,,,,,
d_main_28_11_e_13,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_13,False,,5,worry,,3,void,,1,idle,EventScene_Chap_28_04,1,1,1.0,,neon,anis,rapi,black,,,,,,,
d_main_28_11_e_14,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_14,True,,,,,,,,,,,1,XS_500,0.6,,,,,,Low_2,,,,,,
d_main_28_11_e_15,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_15,True,,,,,,,,,,,XS_500,main_28_11_s,1.0,,,,,,,,,,,,
d_main_28_11_e_16,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_16,True,,,,,,,,,,,main_28_11_s,XS_500,1.0,,,,,,,,,,,,
d_main_28_11_e_17,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_17,True,,,,,,,,,,,XS_500,main_28_11_s,1.0,,,,,,,,,,,,
d_main_28_11_e_18,d_main_28_11_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_11_e_18,True,,,,,,,,,,,main_28_11_s,XS_1500,0.6,,,,,,,,,,,,
d_main_28_11_e_19,d_main_28_11_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_11_e_19,True,,,,,,,,,,,XS_1500,XS_1500,1.0,,,,,,Low_2,,,,,,
d_main_28_11_e_20,d_main_28_11_e,Speech,anis,anis,Locale_MainScenario:d_main_28_11_e_20,False,,,,,,,,,,,XS_1500,XS_1500,1.0,,,,,,,,,,,,
d_main_28_11_e_21,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_21,True,,,,,,,,,,,XS_1500,1,1.0,,,,,,,,,,,,
d_main_28_11_e_22,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_22,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_23,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_23,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_24,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_24,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_25,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_25,True,,,,,,,,,,,1,100,0.6,,,,,,,,,,,,
d_main_28_11_e_26,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_26,True,,,,,,,,,,,100,10,1.0,,,,,,,,,,,,
d_main_28_11_e_27,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_27,True,,,,,,,,,,EventScene_Chap_28_05,10,1,1.0,,,,,,,,,,,,
d_main_28_11_e_28,d_main_28_11_e,Speech,neon,neon,Locale_MainScenario:d_main_28_11_e_28,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_29,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_29,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_30,d_main_28_11_e,Speech,neon,neon,Locale_MainScenario:d_main_28_11_e_30,True,,,,,,,,,,,1,6,1.0,,,,,,,,,,,,
d_main_28_11_e_31,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_31,False,,,,,,,,,,,6,main_28_11_s,0.6,,,,,,,sfx_scn_toolpasslight,,,,,
