id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,set_filter_02,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_church_01_1,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_1,True,Church,1,1,1.0,bgm_story_crawlinganxiety,,,,,,,guillotine,1,angry,,,,,,,,,,,,,
d_ex_church_01_2,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_2,True,,1,XS_10,1.0,,,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_3,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_3,True,,XS_10,XS_10,1.0,,,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_4,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_4,True,,XS_10,XS_10,1.0,,,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_5,d_ex_church_01,Choice,guillotine,,Locale_SuddenStory:d_ex_church_01_5,False,,XS_10,XS_10,1.0,,d_ex_church_01_7,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_6,d_ex_church_01,Choice,guillotine,,Locale_SuddenStory:d_ex_church_01_6,False,,XS_10,XS_10,1.0,,d_ex_church_01_7,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_7,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_7,True,,XS_10,1,1.0,,,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_8,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_8,True,,1,1,1.0,,,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_9,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_9,True,,1,1,1.0,,,,,,,,,1,angry,,,,,,,,,,,,,
d_ex_church_01_10,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_10,True,ShoppingMall,5,15,3.0,,,Vignetting,Blur_Low,,,,,1,idle,guillotine,,,,,,,,,,,,
d_ex_church_01_11,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_11,True,,15,15,1.0,,,Vignetting,Blur_Low,,,,,,,,,,,,,,,,,,,
d_ex_church_01_12,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_12,True,,15,15,1.0,,,Vignetting,Blur_Low,,,,,,,,,,,,,,,,,,,
d_ex_church_01_13,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_13,True,,15,15,1.0,,,Vignetting,Blur_Low,,,,,,,,,,,,,,,,,,,
d_ex_church_01_14,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_14,True,,15,15,1.0,,,Vignetting,Blur_Low,,,,,,,,,,,,,,,,,,,
d_ex_church_01_15,d_ex_church_01,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_church_01_15,True,,15,15,1.0,,,Vignetting,Blur_Low,,,,,,,,,,,,,,,,,,,
