id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_26_1_e_1,d_main_26_01_e,Speech,redhood,redhood,Locale_MainScenario:d_main_26_1_e_1,True,Desert_02,10,10,1.0,none,,,,redhood,1,idle,,,,
d_main_26_1_e_2,d_main_26_01_e,Speech,redhood,redhood,Locale_MainScenario:d_main_26_1_e_2,True,,10,10,1.0,,,,,,1,idle,,,,
d_main_26_1_e_3,d_main_26_01_e,Narration,,,Locale_MainScenario:d_main_26_1_e_3,False,,10,1,1.0,,,,,,1,idle,redhood,,,
d_main_26_1_e_4,d_main_26_01_e,Narration,,,Locale_MainScenario:d_main_26_1_e_4,False,,1,1,1.0,bgm_story_enormousgap,,,,,,,,,,
d_main_26_1_e_5,d_main_26_01_e,Self,,,Locale_MainScenario:d_main_26_1_e_5,False,,1,1,1.0,,,,,,,,,,,
d_main_26_1_e_6,d_main_26_01_e,Narration,,,Locale_MainScenario:d_main_26_1_e_6,False,,1,1,1.0,,,,,ingrid_op_c,OP_center,idle,,,,
d_main_26_1_e_7,d_main_26_01_e,Self,,,Locale_MainScenario:d_main_26_1_e_7,False,,1,1,1.0,,,,,,OP_center,idle,,,,
d_main_26_1_e_8,d_main_26_01_e,Speech,ingrid_op_c,ingrid_op_c,Locale_MainScenario:d_main_26_1_e_8,True,,1,1,1.0,,,,,,OP_center,idle,,,,
d_main_26_1_e_9,d_main_26_01_e,Self,,,Locale_MainScenario:d_main_26_1_e_9,False,,1,1,1.0,,,,,,OP_center,idle,,,,
d_main_26_1_e_10,d_main_26_01_e,Speech,ingrid_op_c,ingrid_op_c,Locale_MainScenario:d_main_26_1_e_10,True,,1,1,1.0,,,,,,OP_center,idle,,,,
d_main_26_1_e_11,d_main_26_01_e,Self,,,Locale_MainScenario:d_main_26_1_e_11,False,,1,1,1.0,,,,,,OP_center,idle,,,,
