id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,set_filter_01
d_main_17_12_1,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_1,True,rapunzel,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle,IceLand_01,113,113,1.0,bgm_story_thepilgrim,,,
d_main_17_12_2,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_2,True,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,
d_main_17_12_3,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_3,True,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,
d_main_17_12_4,d_main_17_12,Speech,rapi,rapi,Locale_MainScenario:d_main_17_12_4,True,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,
d_main_17_12_5,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_5,True,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,
d_main_17_12_6,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_6,True,,1,idle,,13,idle,,15,idle,,17,idle,,113,10,1.0,,,,
d_main_17_12_7,d_main_17_12,Self,rapunzel,,Locale_MainScenario:d_main_17_12_7,False,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_8,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_8,False,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_9,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_9,True,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_10,d_main_17_12,Self,rapunzel,,Locale_MainScenario:d_main_17_12_10,False,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_11,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_11,True,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_12,d_main_17_12,Self,rapunzel,,Locale_MainScenario:d_main_17_12_12,False,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_13,d_main_17_12,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_12_13,True,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_17_12_14,d_main_17_12,Choice,rapunzel,,Locale_MainScenario:d_main_17_12_14,False,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,d_main_17_12_16,,
d_main_17_12_15,d_main_17_12,Choice,rapunzel,,Locale_MainScenario:d_main_17_12_15,False,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,d_main_17_12_16,,
