id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_camera_duration,play_bgm,highlight,speaker,set_start_camera,set_end_camera,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1421_1,d_subquest_1421,Narration,Locale_SubScenario:d_subquest_1421_1,False,CrystalField_1,1.0,bgm_recognition_underworld,,,,,,,,,,,,,,,
d_subquest_1421_2,d_subquest_1421,Narration,Locale_SubScenario:d_subquest_1421_2,False,,1.0,,,,,,,,,,,,,,,,
d_subquest_1421_3,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_3,True,,1.0,,rapi,rapi,3,3,,,rapi,3,idle,neon,1,idle,anis,13,idle
d_subquest_1421_4,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_4,True,,1.0,,rapi,rapi,3,3,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_5,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_5,True,,1.0,,rapi,rapi,3,3,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_6,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_6,True,,1.0,,anis,anis,3,12,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_7,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_7,True,,1.0,,neon,neon,12,12,,,,3,idle,,1,surprise,,13,idle
d_subquest_1421_8,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_8,True,,0.6,,anis,anis,12,1300,,,,3,idle,,1,surprise,,13,no
d_subquest_1421_9,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_9,True,,1.0,,neon,neon,S_10,S_10,,,,3,idle,,1,delight,,13,no
d_subquest_1421_10,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_10,True,,1.0,,rapi,rapi,S_10,3,,,,3,idle,,1,delight,,13,no
d_subquest_1421_11,d_subquest_1421,Self,Locale_SubScenario:d_subquest_1421_11,False,,1.0,,rapi,,3,3,,,,3,idle,,1,delight,,13,no
d_subquest_1421_12,d_subquest_1421,Self,Locale_SubScenario:d_subquest_1421_12,False,,1.0,,rapi,,3,3,,,,3,idle,,1,delight,,13,no
d_subquest_1421_13,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_13,True,,1.0,,rapi,rapi,3,30,,,,3,idle,,1,delight,,13,idle
d_subquest_1421_14,d_subquest_1421,Self,Locale_SubScenario:d_subquest_1421_14,False,,1.0,,rapi,,30,30,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_15,d_subquest_1421,Self,Locale_SubScenario:d_subquest_1421_15,False,,1.0,,rapi,,30,30,,,,3,idle,,1,idle,,13,idle
