id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_37_06_e_1,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_1,True,rapi_red,1,idle,EggArea,1,1,1.0,none,,,
d_main_37_06_e_2,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_2,True,,1,idle,,1,1,1.0,,,,
d_main_37_06_e_3,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_3,False,,1,idle,,1,10,1.0,,,,
d_main_37_06_e_4,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_4,True,,1,idle,,10,10,1.0,bgm_chapter37_field_swarmnest,,,
d_main_37_06_e_5,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_5,True,,1,idle,,10,10,1.0,,,,
d_main_37_06_e_6,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_6,True,,1,idle,,10,10,1.0,,,,
d_main_37_06_e_7,d_main_37_06_e,Self,rapi_red,,Locale_MainScenario:d_main_37_06_e_7,False,,1,idle,,10,10,1.0,,,,
d_main_37_06_e_8,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_8,True,,1,idle,,10,10,1.0,,,,
d_main_37_06_e_9,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_9,True,,1,idle,,10,10,1.0,,maxwell_op,OP_leftup,idle_02
d_main_37_06_e_10,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_10,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_11,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_11,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_12,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_12,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_13,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_13,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_14,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_14,True,,1,idle,,10,10,1.0,,,OP_leftup,sad
d_main_37_06_e_15,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_15,True,,1,idle,,10,10,1.0,,,OP_leftup,sad
d_main_37_06_e_16,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_16,True,,1,idle,,10,10,1.0,,,OP_leftup,sad
d_main_37_06_e_17,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_17,False,,1,think,,10,10,1.0,,,OP_leftup,sad
d_main_37_06_e_18,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_18,True,,1,think,,10,10,1.0,,,OP_leftup,sad
d_main_37_06_e_19,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_19,True,,1,think,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_20,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_20,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_21,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_21,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_22,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_22,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_23,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_23,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_24,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_24,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_25,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_25,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_26,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_26,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_27,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_27,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_28,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_28,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_29,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_29,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_30,d_main_37_06_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_e_30,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_31,d_main_37_06_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_e_31,True,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
d_main_37_06_e_32,d_main_37_06_e,Self,maxwell_op,,Locale_MainScenario:d_main_37_06_e_32,False,,1,idle,,10,10,1.0,,,OP_leftup,idle_02
