id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_main_32_09_s_1,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_1,True,grave_no,1,idle,anis,13,void,neon,15,idle,rapi,3,idle,FlowerRoad,1,1,1.0,bgm_story_confront,,,,,,,,
d_main_32_09_s_2,d_main_32_09_s,Speech,anis,anis,Locale_MainScenario:d_main_32_09_s_2,True,,1,idle,,13,void,,15,idle,,3,idle,,1,1315,1.0,,,,,,,,,
d_main_32_09_s_3,d_main_32_09_s,Speech,neon,neon,Locale_MainScenario:d_main_32_09_s_3,True,,1,idle,,13,void,,15,idle,,3,idle,,1315,1315,1.0,,,,,,,,,
d_main_32_09_s_4,d_main_32_09_s,Speech,anis,anis,Locale_MainScenario:d_main_32_09_s_4,True,,1,idle,,13,void,,15,idle,,3,idle,,1315,1315,1.0,,,,,,,,,
d_main_32_09_s_5,d_main_32_09_s,Speech,neon,neon,Locale_MainScenario:d_main_32_09_s_5,True,,1,idle,,13,void,,15,no,,3,idle,,1315,1315,1.0,,,,,,,,,
d_main_32_09_s_6,d_main_32_09_s,Speech,anis,anis,Locale_MainScenario:d_main_32_09_s_6,True,,1,idle,,13,worry,,15,no,,3,idle,,1315,1315,1.0,,,,,,,,,
d_main_32_09_s_7,d_main_32_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_09_s_7,True,,1,idle,,13,worry,,15,no,,3,idle,,1315,31,1.5,,,,,,,,,
d_main_32_09_s_8,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_8,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_9,d_main_32_09_s,Monologue,grave_no,,Locale_MainScenario:d_main_32_09_s_9,False,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_10,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_10,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_11,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_11,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
