id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/5/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_21_07_e_1,d_main_21_07_e,Narration,Narration,Locale_MainScenario:d_main_21_07_e_1,False,anis,7,void,neon,5,idle,rapi,3,idle,johan,1,idle,noah,17,idle,isabel,15,idle,Launcher,19,15,1.0,bgm_intotheswarm_b,,,,,,,,,,,
d_main_21_07_e_2,d_main_21_07_e,Speech,isabel,Locale_MainScenario:d_main_21_07_e_2,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,idle,,15,15,1.0,,isabel,,,,,,,,,,
d_main_21_07_e_3,d_main_21_07_e,Speech,johan,Locale_MainScenario:d_main_21_07_e_3,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,idle,,1,1,1.0,,johan,,,,,,,,,,
d_main_21_07_e_4,d_main_21_07_e,Monologue,Monologue,Locale_MainScenario:d_main_21_07_e_4,False,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,idle,,black,black,1.0,,johan,,,,,,,,,,
d_main_21_07_e_5,d_main_21_07_e,Monologue,Monologue,Locale_MainScenario:d_main_21_07_e_5,False,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,idle,,black,black,1.0,,johan,,,,,,,,,,
d_main_21_07_e_6,d_main_21_07_e,Self,Self,Locale_MainScenario:d_main_21_07_e_6,False,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,idle,,15,15,1.0,,johan,,,,,,,,,,
d_main_21_07_e_7,d_main_21_07_e,Speech,isabel,Locale_MainScenario:d_main_21_07_e_7,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,15,15,1.0,,isabel,,,,,,,,,,
d_main_21_07_e_8,d_main_21_07_e,Speech,isabel,Locale_MainScenario:d_main_21_07_e_8,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,15,S_150,1.0,,isabel,,,,,,,,,,
d_main_21_07_e_9,d_main_21_07_e,Self,Self,Locale_MainScenario:d_main_21_07_e_9,False,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,S_150,S_150,1.0,,isabel,,,,,,,,,,
d_main_21_07_e_10,d_main_21_07_e,Speech,isabel,Locale_MainScenario:d_main_21_07_e_10,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,"expression_0,shy",,S_150,15,1.0,,isabel,,,,,,,,,,
d_main_21_07_e_11,d_main_21_07_e,Speech,anis,Locale_MainScenario:d_main_21_07_e_11,True,,7,no,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,15,15,1.0,,anis,,,,,,,,,,
d_main_21_07_e_12,d_main_21_07_e,Speech,johan,Locale_MainScenario:d_main_21_07_e_12,False,,7,no,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,15,15,1.0,,johan,,,,,,,,,,
d_main_21_07_e_13,d_main_21_07_e,Speech,isabel,Locale_MainScenario:d_main_21_07_e_13,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,15,S_150,1.0,,isabel,,,,,,,,,,
d_main_21_07_e_14,d_main_21_07_e,Speech,isabel,Locale_MainScenario:d_main_21_07_e_14,True,,7,void,,5,idle,,3,idle,,1,idle,,17,idle,,15,shy,,S_150,S_1500,1.0,,isabel,,,,,,,,,,
