id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_27_08_1,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_1,True,ManyCrystalDesert_d,1,10,1.0,bgm_aztec_b,hammering,1,worry,liveryn,3,worry,elegg,13,idle,rapi,15,idle,anis,17,idle,neon,19,idle,,,
d_main_27_08_2,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_2,True,,10,30,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_3,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_3,True,,30,30,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_4,d_main_27_08,Speech,rapi,rapi,Locale_MainScenario:d_main_27_08_4,True,,150,150,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_5,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_5,True,,30,30,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_6,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_6,True,,10,10,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_7,d_main_27_08,Speech,neon,neon,Locale_MainScenario:d_main_27_08_7,True,,S_190,S_190,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_8,d_main_27_08,Speech,rapi,rapi,Locale_MainScenario:d_main_27_08_8,True,,150,150,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_9,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_9,True,,150,S_130,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_10,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_10,True,,S_130,10,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_11,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_11,True,,10,30,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_12,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_12,True,,30,30,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_13,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_13,True,,30,30,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_14,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_14,True,,30,31,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_15,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_15,True,,31,31,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_16,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_16,True,,31,31,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_17,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_17,True,,31,31,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_18,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_18,True,,31,31,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_19,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_19,True,,31,113,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_20,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_20,True,,113,113,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_21,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_21,True,,113,113,1.0,,,1,worry,,3,worry,,13,think,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_22,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_22,True,,113,113,1.0,,,1,worry,,3,worry,,13,think,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_23,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_23,True,,113,113,1.0,,,1,worry,,3,worry,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_24,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_24,True,,300,300,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_25,d_main_27_08,Speech,rapi,rapi,Locale_MainScenario:d_main_27_08_25,True,,1500,1500,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_26,d_main_27_08,Speech,anis,anis,Locale_MainScenario:d_main_27_08_26,True,,1700,1700,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,void,,19,idle,,,
d_main_27_08_27,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_27,True,,300,300,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,void,,19,idle,,,
d_main_27_08_28,d_main_27_08,Speech,neon,neon,Locale_MainScenario:d_main_27_08_28,True,,S_1900,S_1900,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,void,,19,no,,,
d_main_27_08_29,d_main_27_08,Speech,anis,anis,Locale_MainScenario:d_main_27_08_29,False,,S_1900,1700,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,worry,,19,no,,,
d_main_27_08_30,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_30,True,,1700,1315,2.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,worry,,19,no,,,
d_main_27_08_31,d_main_27_08,Speech,rapi,rapi,Locale_MainScenario:d_main_27_08_31,True,,1315,1315,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,worry,,19,idle,,,
d_main_27_08_32,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_32,True,,1315,1315,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_33,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_33,True,,1315,1,2.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_34,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_34,True,,1,1,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_35,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_35,True,,1,31,1.0,,,1,worry,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_36,d_main_27_08,Speech,hammering,hammering,Locale_MainScenario:d_main_27_08_36,True,,31,31,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_37,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_37,True,,S_130,S_130,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_38,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_38,True,,30,30,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_39,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_39,True,,30,30,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_40,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_40,True,,S_130,S_130,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_41,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_41,True,,30,30,1.0,,,1,idle,,3,smile,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_42,d_main_27_08,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_08_42,True,,30,30,1.0,,,1,idle,,3,smile,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_43,d_main_27_08,Speech,elegg,elegg,Locale_MainScenario:d_main_27_08_43,True,,S_130,S_130,1.0,,,1,idle,,3,smile,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_44,d_main_27_08,Speech,rapi,rapi,Locale_MainScenario:d_main_27_08_44,True,,S_130,150,1.0,,,1,idle,,3,smile,,13,idle,,15,idle,,17,idle,,19,idle,,,
d_main_27_08_45,d_main_27_08,Speech,shifty,shifty,Locale_MainScenario:d_main_27_08_45,True,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,shifty,OP_leftup,worry
d_main_27_08_46,d_main_27_08,Speech,shifty,shifty,Locale_MainScenario:d_main_27_08_46,True,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,worry
d_main_27_08_47,d_main_27_08,Self,,,Locale_MainScenario:d_main_27_08_47,False,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,worry
d_main_27_08_48,d_main_27_08,Speech,shifty,shifty,Locale_MainScenario:d_main_27_08_48,True,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,worry
d_main_27_08_49,d_main_27_08,Speech,shifty,shifty,Locale_MainScenario:d_main_27_08_49,True,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,worry
d_main_27_08_50,d_main_27_08,Speech,shifty,shifty,Locale_MainScenario:d_main_27_08_50,True,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,worry
d_main_27_08_51,d_main_27_08,Self,,,Locale_MainScenario:d_main_27_08_51,False,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,worry
d_main_27_08_52,d_main_27_08,Speech,rapi,rapi,Locale_MainScenario:d_main_27_08_52,True,,150,150,1.0,,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,19,idle,,OP_leftup,idle
