id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_24_01_1,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_1,False,AZXIn,5,1,2.0,bgm_manifest,,,crow,1,idle,,,,,
d_main_24_01_2,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_2,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_3,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_3,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_4,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_4,True,Stage,black,black,1.0,,announcer,,,1,idle,crow,announcer,1,idle,
d_main_24_01_5,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_5,True,,1,1,1.0,,announcer,,,1,idle,,,1,idle,
d_main_24_01_6,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_6,True,,1,1,1.0,,announcer,,,1,idle,,,1,idle,
d_main_24_01_7,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_7,True,,1,1,1.0,,announcer,,,1,idle,,,1,idle,
d_main_24_01_8,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_8,True,,1,10,2.0,,announcer,,,1,idle,,,1,idle,
d_main_24_01_9,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_9,True,,10,10,1.0,,announcer,,,1,idle,,,1,idle,
d_main_24_01_10,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_10,True,EmptyShelter,10,10,1.0,,announcer,,,1,idle,,,1,idle,announcer
d_main_24_01_11,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_11,True,,10,10,1.0,,announcer,,,1,idle,,,,,
d_main_24_01_12,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_12,True,,10,10,1.0,,announcer,,,1,idle,,,,,
d_main_24_01_13,d_main_24_01,Speech,announcer,Locale_MainScenario:d_main_24_01_13,True,,10,10,1.0,,announcer,,,1,idle,,,,,
d_main_24_01_14,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_14,False,AZXIn,10,1,1.0,,,,crow,1,idle,,,,,
d_main_24_01_15,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_15,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_16,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_16,False,,1,15,2.0,,,,,1,idle,,,,,
d_main_24_01_17,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_17,False,,15,15,1.0,,,,,1,idle,,,,,
d_main_24_01_18,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_18,False,,15,15,1.0,,,,,1,idle,,,,,
d_main_24_01_19,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_19,False,,15,15,1.0,,,,,1,idle,,,,,
d_main_24_01_20,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_20,False,,15,15,1.0,,,,,1,idle,,,,,
d_main_24_01_21,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_21,False,,15,1,2.0,,,,,1,idle,,,,,
d_main_24_01_22,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_22,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_23,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_23,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_24,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_24,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_25,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_25,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_26,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_26,False,,1,10,2.0,,,,,1,idle,,,,,
d_main_24_01_27,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_27,False,,10,10,1.0,,,,,1,idle,,,,,
d_main_24_01_28,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_28,False,,10,10,1.0,,,,,1,idle,,,,,
d_main_24_01_29,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_29,False,,10,10,1.0,,,,,1,idle,,,,,
d_main_24_01_30,d_main_24_01,Speech,crow,Locale_MainScenario:d_main_24_01_30,False,,10,1,2.0,,crow,,,1,idle,,,,,
d_main_24_01_31,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_31,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_32,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_32,False,,1,12,1.0,,,,,12,idle,,,,,
d_main_24_01_33,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_33,False,,12,12,1.0,,,,,12,idle,,,,,
d_main_24_01_34,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_34,False,,12,12,1.0,,,sfx_scn_toilet,,12,idle,,,,,
d_main_24_01_35,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_35,False,,12,12,1.0,,,,,12,idle,,,,,
d_main_24_01_36,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_36,False,ShowerRoom,12,13,1.0,,,,,13,idle,,,,,
d_main_24_01_37,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_37,False,,black,black,1.0,,,sfx_scn_keyopen,,12,idle,,,,,
d_main_24_01_38,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_38,False,,12,12,1.0,,,,,12,idle,,,,,
d_main_24_01_39,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_39,False,,12,12,1.0,,,,,12,idle,,,,,
d_main_24_01_40,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_40,False,AZXIn,black,black,1.0,,,sfx_scn_toilet,,12,idle,,,,,
d_main_24_01_41,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_41,False,,12,1,1.0,,,,,1,idle,,,,,
d_main_24_01_42,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_42,False,,1,1,1.0,,,,,1,idle,,,,,
d_main_24_01_43,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_43,False,,1,10,2.0,,,,,1,idle,,,,,
d_main_24_01_44,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_44,False,,10,10,1.0,,,,,1,idle,,,,,
d_main_24_01_45,d_main_24_01,Speech,crow,Locale_MainScenario:d_main_24_01_45,False,,10,100,2.0,,crow,,,1,idle,,,,,
d_main_24_01_46,d_main_24_01,Speech,crow,Locale_MainScenario:d_main_24_01_46,True,,100,100,1.0,,crow,,,1,idle,,,,,
d_main_24_01_47,d_main_24_01,Narration,Narration,Locale_MainScenario:d_main_24_01_47,False,,black,black,1.0,,,,,1,idle,,,,,
