id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,set_filter_02,jump_target
d_subquest_1312_1,d_subquest_1312,Narration,Locale_SubScenario:d_subquest_1312_1,False,CityForest_02,1,1,1.0,sfx_scn_firemissile,none,Low_2,,,,,,,,
d_subquest_1312_2,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_2,True,,1,S_10,1.0,,bgm_risk,,isabel,isabel,isabel,1,idle,,,
d_subquest_1312_3,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_3,False,,S_10,S_10,1.0,,,,,,,1,idle,,,
d_subquest_1312_4,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_4,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_5,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_5,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_6,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_6,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_7,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_7,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_8,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_8,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,idle,,,
d_subquest_1312_9,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_9,False,,S_10,S_10,1.0,,,,,,,1,idle,,,
d_subquest_1312_10,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_10,False,,S_10,S_10,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_11,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_11,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_12,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_12,False,,S_10,S_10,1.0,,,,,,,1,surprise,,,
d_subquest_1312_13,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_13,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,idle,,,
d_subquest_1312_14,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_14,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,idle,,,
d_subquest_1312_15,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_15,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,idle,,,
d_subquest_1312_16,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_16,False,,S_10,S_10,1.0,,,,,,,1,idle,,,
d_subquest_1312_17,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_17,False,none,black,black,1.0,,,,,,,1,idle,,,
d_subquest_1312_18,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_18,False,EdenIndoor,black,black,1.0,,,,,,,1,idle,Grey,Vignetting,
d_subquest_1312_19,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_19,False,,1,1,1.0,,,,isabel,isabel,,1,shy,Grey,Vignetting,
d_subquest_1312_20,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_20,False,EdenLobby,black,black,1.0,,,,,,,1,shy,Grey,Vignetting,
d_subquest_1312_21,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_21,False,,1,1,1.0,,,,isabel,isabel,,1,shy,Grey,Vignetting,
d_subquest_1312_22,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_22,False,ShowerRoom,black,black,1.0,,,,,,,1,shy,Grey,Vignetting,
d_subquest_1312_23,d_subquest_1312,Narration,Locale_SubScenario:d_subquest_1312_23,False,,1,1,1.0,,,,,,,1,shy,Grey,Vignetting,
d_subquest_1312_24,d_subquest_1312,Narration,Locale_SubScenario:d_subquest_1312_24,False,,1,1,1.0,,,,,,,1,shy,Grey,Vignetting,
d_subquest_1312_25,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_25,False,,1,S_10,0.5,,,Low_2,,,,1,surprise,Grey,Vignetting,
d_subquest_1312_26,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_26,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,good,Grey,Vignetting,
d_subquest_1312_27,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_27,True,CityForest_02,black,black,1.0,,,,isabel,isabel,,1,good,Grey,Vignetting,
d_subquest_1312_28,d_subquest_1312,Choice,Locale_SubScenario:d_subquest_1312_28,False,,S_10,S_10,1.0,,,,,,,1,idle,,,d_subquest_1312_30
d_subquest_1312_29,d_subquest_1312,Choice,Locale_SubScenario:d_subquest_1312_29,False,,S_10,S_10,1.0,,,,,,,1,idle,,,d_subquest_1312_30
d_subquest_1312_30,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_30,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_31,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_31,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
