id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_main_26_12_s_1,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_1,True,rapi,3,idle,anis,1,void,neon,13,idle,CountryVillage_d,12,12,1.0,bgm_highnoon_b,,
d_main_26_12_s_2,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_2,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,,
d_main_26_12_s_3,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_3,True,,3,idle,,1,void,,13,idle,,12,10,1.0,,,
d_main_26_12_s_4,d_main_26_12_s,Narration,,,Locale_MainScenario:d_main_26_12_s_4,False,,3,idle,,1,void,,13,idle,,10,10,1.0,,sfx_scn_metalbutton,
d_main_26_12_s_5,d_main_26_12_s,Narration,,,Locale_MainScenario:d_main_26_12_s_5,False,,3,idle,,1,void,,13,idle,,10,10,1.0,,sfx_scn_metalchunk,Low_2
d_main_26_12_s_6,d_main_26_12_s,Monologue,,,Locale_MainScenario:d_main_26_12_s_6,False,,3,idle,,1,void,,13,idle,,10,10,1.0,,,
d_main_26_12_s_7,d_main_26_12_s,Monologue,,,Locale_MainScenario:d_main_26_12_s_7,False,,3,idle,,1,void,,13,idle,,black,black,1.0,,,
d_main_26_12_s_8,d_main_26_12_s,Monologue,,,Locale_MainScenario:d_main_26_12_s_8,False,,3,idle,,1,void,,13,idle,,black,black,1.0,,,
d_main_26_12_s_9,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_9,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,
d_main_26_12_s_10,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_10,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,
d_main_26_12_s_11,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_11,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,
d_main_26_12_s_12,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_12,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,
d_main_26_12_s_13,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_13,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,
d_main_26_12_s_14,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_14,True,,3,idle,,1,worry,,13,idle,,12,12,1.0,,,
d_main_26_12_s_15,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_15,True,,3,idle,,1,worry,,13,surprise,,12,12,1.0,,,
d_main_26_12_s_16,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_16,True,,3,idle,,1,void,,13,surprise,,30,30,1.0,,,
d_main_26_12_s_17,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_17,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,,
d_main_26_12_s_18,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_18,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,,
d_main_26_12_s_19,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_19,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,,
d_main_26_12_s_20,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_20,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,,
d_main_26_12_s_21,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_21,True,,3,idle,,1,idle,,13,idle,,30,2,1.0,,,
d_main_26_12_s_22,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_22,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,
d_main_26_12_s_23,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_23,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,
d_main_26_12_s_24,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_24,True,,3,idle,,1,void,,13,idle,,2,2,1.0,,,
d_main_26_12_s_25,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_25,True,,3,idle,,1,void,,13,idle,,2,30,1.0,,,
d_main_26_12_s_26,d_main_26_12_s,Self,,,Locale_MainScenario:d_main_26_12_s_26,False,,3,idle,,1,void,,13,idle,,30,30,1.0,,,
d_main_26_12_s_27,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_27,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,,
d_main_26_12_s_28,d_main_26_12_s,Narration,,,Locale_MainScenario:d_main_26_12_s_28,False,,3,idle,,1,void,,13,idle,,30,6,1.0,,sfx_scn_motorengine,Low_2
d_main_26_12_s_29,d_main_26_12_s,Narration,,,Locale_MainScenario:d_main_26_12_s_29,False,,3,idle,,1,void,,13,idle,,6,6,1.0,,,
d_main_26_12_s_30,d_main_26_12_s,Narration,,,Locale_MainScenario:d_main_26_12_s_30,False,,3,idle,,1,void,,13,idle,,6,6,1.0,none,sfx_scn_rapturehowl,Low_1
d_main_26_12_s_31,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_31,True,,3,idle,,1,void,,13,surprise,,S_130,S_130,1.0,bgm_disaster,,
d_main_26_12_s_32,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_32,True,,3,angry,,1,void,,13,surprise,,30,30,1.0,,,
d_main_26_12_s_33,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_33,True,,3,angry,,1,void,,13,surprise,,30,3,0.6,,,
d_main_26_12_s_34,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_34,True,,3,angry,,1,angry,,13,surprise,,12,12,1.0,,,
d_main_26_12_s_35,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_35,True,,3,angry,,1,angry,,13,surprise,,12,12,1.0,,,
d_main_26_12_s_36,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_36,True,,3,idle,,1,void,,13,surprise,,30,30,1.0,,,
d_main_26_12_s_37,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_37,True,,3,idle,,1,void,,13,surprise,,30,30,1.0,,,
d_main_26_12_s_38,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_38,True,,3,idle,,1,delight,,13,idle,,12,12,1.0,,,
d_main_26_12_s_39,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_39,True,,3,idle,,1,delight,,13,idle,,12,10,1.0,,,
d_main_26_12_s_40,d_main_26_12_s,Speech,anis,anis,Locale_MainScenario:d_main_26_12_s_40,True,,3,idle,,1,delight,,13,idle,,10,10,1.0,,,
d_main_26_12_s_41,d_main_26_12_s,Speech,neon,neon,Locale_MainScenario:d_main_26_12_s_41,True,,3,idle,,1,delight,,13,surprise,,S_130,S_130,1.0,,,
d_main_26_12_s_42,d_main_26_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_s_42,True,,3,angry,,1,delight,,13,surprise,,30,30,1.0,,,
