id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim
d_main_02_04_1,d_main_02_04,Speech,shifty,shifty,Locale_MainScenario:d_main_02_04_1,True,CityForest_01,1,1,1.0,bgm_recognition,rapi,1,idle,anis,3,void,neon,13,idle,shifty,OP_leftup,idle
d_main_02_04_2,d_main_02_04,Speech,anis,anis,Locale_MainScenario:d_main_02_04_2,True,,3,3,1.0,,,1,idle,,3,void,,13,idle,,OP_leftup,idle
d_main_02_04_3,d_main_02_04,Speech,anis,anis,Locale_MainScenario:d_main_02_04_3,True,,3,30,1.0,,,1,idle,,3,worry,,13,idle,,OP_leftup,idle
d_main_02_04_4,d_main_02_04,Speech,neon,neon,Locale_MainScenario:d_main_02_04_4,True,,S_130,S_1300,0.5,,,1,idle,,3,worry,,13,delight,,OP_leftup,idle
d_main_02_04_5,d_main_02_04,Speech,anis,anis,Locale_MainScenario:d_main_02_04_5,True,,30,30,1.0,,,1,idle,,3,worry,,13,idle,,OP_leftup,idle
d_main_02_04_6,d_main_02_04,Speech,neon,neon,Locale_MainScenario:d_main_02_04_6,True,,13,13,1.0,,,1,idle,,3,worry,,13,no,,OP_leftup,idle
d_main_02_04_7,d_main_02_04,Speech,neon,neon,Locale_MainScenario:d_main_02_04_7,True,,13,S_130,1.0,,,1,idle,,3,void,,13,no,,OP_leftup,delight
d_main_02_04_8,d_main_02_04,Speech,neon,neon,Locale_MainScenario:d_main_02_04_8,True,,S_130,S_1300,1.0,,,1,idle,,3,void,,13,no,,OP_leftup,delight
d_main_02_04_9,d_main_02_04,Speech,anis,anis,Locale_MainScenario:d_main_02_04_9,False,,30,30,1.0,,,1,idle,,3,no,,13,idle,,OP_leftup,delight
d_main_02_04_10,d_main_02_04,Speech,neon,neon,Locale_MainScenario:d_main_02_04_10,True,,13,13,1.0,,,1,idle,,3,void,,13,idle,,OP_leftup,delight
d_main_02_04_11,d_main_02_04,Speech,neon,neon,Locale_MainScenario:d_main_02_04_11,True,,13,S_1300,1.0,,,1,idle,,3,void,,13,no,,OP_leftup,delight
d_main_02_04_12,d_main_02_04,Speech,anis,anis,Locale_MainScenario:d_main_02_04_12,False,,30,300,1.0,,,1,idle,,3,no,,13,no,,OP_leftup,no
