id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_18_10_1,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_1,True,WasteLand_02,10,10,1.0,bgm_story_hero_arrange,neon,7,idle,anis,5,void,rapi,3,idle,maxwell,1,sad,drake,13,idle,laplace,15,sad,,,,
d_main_18_10_2,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_2,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,sad,,13,idle,,15,sad,,,,
d_main_18_10_3,d_main_18_10,Speech,neon,neon,Locale_MainScenario:d_main_18_10_3,True,,S_70,S_70,1.0,,,7,surprise,,5,void,,3,idle,,1,sad,,13,idle,,15,sad,,,,
d_main_18_10_4,d_main_18_10,Speech,anis,anis,Locale_MainScenario:d_main_18_10_4,True,,S_70,50,1.0,,,7,surprise,,5,worry,,3,idle,,1,sad,,13,idle,,15,sad,,,,
d_main_18_10_5,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_5,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_6,d_main_18_10,Speech,anis,anis,Locale_MainScenario:d_main_18_10_6,True,,50,50,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_7,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_7,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_8,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_8,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,delight,,13,idle,,15,sad,,,,
d_main_18_10_9,d_main_18_10,Speech,neon,neon,Locale_MainScenario:d_main_18_10_9,True,,S_70,S_70,1.0,,,7,angry,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_10,d_main_18_10,Speech,drake,drake,Locale_MainScenario:d_main_18_10_10,True,,130,130,1.0,,,7,angry,,5,void,,3,idle,,1,idle,,13,angry,,15,sad,,,,
d_main_18_10_11,d_main_18_10,Speech,anis,anis,Locale_MainScenario:d_main_18_10_11,True,,50,50,1.0,,,7,angry,,5,no,,3,idle,,1,idle,,13,angry,,15,sad,,,,
d_main_18_10_12,d_main_18_10,Speech,drake,drake,Locale_MainScenario:d_main_18_10_12,True,,130,130,1.0,,,7,idle,,5,no,,3,idle,,1,idle,,13,no,,15,sad,,,,
d_main_18_10_13,d_main_18_10,Speech,laplace,laplace,Locale_MainScenario:d_main_18_10_13,False,,130,S_150,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,no,,15,sad,,,,
d_main_18_10_14,d_main_18_10,Speech,rapi,rapi,Locale_MainScenario:d_main_18_10_14,True,,30,30,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_15,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_15,True,,30,2,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_16,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_16,True,,2,2,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_17,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_17,True,,2,2,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_18,d_main_18_10,Speech,rapi,rapi,Locale_MainScenario:d_main_18_10_18,True,,2,2,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_19,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_19,True,,2,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_20,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_20,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_21,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_21,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_22,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_22,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_23,d_main_18_10,Speech,anis,anis,Locale_MainScenario:d_main_18_10_23,True,,50,50,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_24,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_24,True,,10,100,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_25,d_main_18_10,Speech,drake,drake,Locale_MainScenario:d_main_18_10_25,True,,100,12,1.0,,,7,surprise,,5,void,,3,idle,,1,idle,,13,angry,,15,sad,,,,
d_main_18_10_26,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_26,True,,12,12,1.0,,,7,surprise,,5,void,,3,idle,,1,delight,,13,angry,,15,sad,,,,
d_main_18_10_27,d_main_18_10,Speech,drake,drake,Locale_MainScenario:d_main_18_10_27,True,,12,12,1.0,,,7,surprise,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_28,d_main_18_10,Speech,neon,neon,Locale_MainScenario:d_main_18_10_28,True,,S_70,S_70,1.0,,,7,surprise,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_29,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_29,True,,100,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_30,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_30,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
d_main_18_10_31,d_main_18_10,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_10_31,True,,10,10,1.0,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad,,,,
