id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_flowerpark_02_1,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_1,True,FlowerGarden,12,12,1.0,bgm_story_overjoy,,,,,,,,,ein,1,surprise,zwei,13,good,
d_ex_flowerpark_02_2,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_2,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,good,
d_ex_flowerpark_02_3,d_ex_flowerpark_02,Self,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_3,False,,12,12,1.0,,,,,,,,,,,1,surprise,,13,good,
d_ex_flowerpark_02_4,d_ex_flowerpark_02,Self,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_4,False,,12,12,1.0,,,,,,,,,,,1,surprise,,13,good,
d_ex_flowerpark_02_5,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_5,True,,12,12,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_6,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_6,True,,12,12,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_7,d_ex_flowerpark_02,Self,ein,,Locale_SuddenStory:d_ex_flowerpark_02_7,False,,12,12,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_8,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_8,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,good,
d_ex_flowerpark_02_9,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_9,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_10,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_10,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_11,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_11,True,,12,10,1.3,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_12,d_ex_flowerpark_02,Self,ein,,Locale_SuddenStory:d_ex_flowerpark_02_12,False,,10,10,1.0,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_13,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_13,True,,10,100,1.3,none,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_14,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_14,True,,black,black,1.0,bgm_story_crawlinganxiety,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_15,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_15,True,,10,10,1.0,,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_16,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_16,True,,10,10,1.0,,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_17,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_17,True,,10,10,1.0,,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_18,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_18,True,,10,10,1.0,,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_19,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_19,True,,10,100,1.3,,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_20,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_20,True,,100,100,1.0,,Grey,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_21,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_21,False,,100,12,1.5,,,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_22,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_22,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_23,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_23,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_24,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_24,True,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle,
d_ex_flowerpark_02_25,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_25,True,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle,
d_ex_flowerpark_02_26,d_ex_flowerpark_02,Choice,ein,,Locale_SuddenStory:d_ex_flowerpark_02_26,False,,12,12,1.0,,,d_ex_flowerpark_02_28,,,,,,,,1,idle,,13,idle,
d_ex_flowerpark_02_27,d_ex_flowerpark_02,Choice,ein,,Locale_SuddenStory:d_ex_flowerpark_02_27,False,,12,12,1.0,,,d_ex_flowerpark_02_31,,,,,,,,1,idle,,13,idle,
d_ex_flowerpark_02_28,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_28,True,,12,12,1.0,,,,,,,,,,,1,idle,,13,good,
d_ex_flowerpark_02_29,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_29,True,,12,12,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_30,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_30,True,,12,12,1.0,,,d_ex_flowerpark_02_34,,,,,,,,1,surprise,,13,good,
d_ex_flowerpark_02_31,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_31,True,,12,12,1.0,,,,,,,,,,,1,idle,,13,pain,
d_ex_flowerpark_02_32,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_32,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,pain,
d_ex_flowerpark_02_33,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_33,True,,12,12,1.0,,,d_ex_flowerpark_02_34,,,,,,,,1,surprise,,13,pain,
d_ex_flowerpark_02_34,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_34,True,,12,12,1.0,,,,,,,,,,,1,surprise,,13,idle,
d_ex_flowerpark_02_35,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_35,True,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle,
d_ex_flowerpark_02_36,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_36,True,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle,
d_ex_flowerpark_02_37,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_37,True,,12,12,1.0,,,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_38,d_ex_flowerpark_02,Self,ein,,Locale_SuddenStory:d_ex_flowerpark_02_38,False,,12,12,1.0,,,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_39,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_39,True,,12,12,1.0,,,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_40,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_40,True,,12,10,1.5,,,,,,,,,,,1,angry,,13,idle,
d_ex_flowerpark_02_41,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_41,True,,10,L_30,1.0,none,,,,,trina,3,delight,,,1,angry,,13,idle,
d_ex_flowerpark_02_42,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_42,True,,L_30,L_30,1.0,,,,,,,3,delight,,,1,angry,,13,idle,
d_ex_flowerpark_02_43,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_43,False,,12,12,1.0,,,,,,,3,delight,,,1,angry,,13,surprise,
d_ex_flowerpark_02_44,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_44,True,,12,10,1.0,,,,,,,3,delight,,,1,no,,13,surprise,
