id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_02
d_main_24af_04_1,d_main_24af_04,Narration,Locale_MainScenario:d_main_24af_04_1,False,Corridor,1,1,1.0,none,,,,,,,,,,,,,,,,,
d_main_24af_04_2,d_main_24af_04,Narration,Locale_MainScenario:d_main_24af_04_2,False,,1,1,1.0,,Low_2,,,,,,,,,,,,,,,,
d_main_24af_04_3,d_main_24af_04,Monologue,Locale_MainScenario:d_main_24af_04_3,False,,1,10,2.0,,,,,,,,,,,,,,,,,,
d_main_24af_04_4,d_main_24af_04,Narration,Locale_MainScenario:d_main_24af_04_4,False,,10,10,1.0,,Low_2,,,,,,,,,,,,,,,,
d_main_24af_04_5,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,
d_main_24af_04_6,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_6,True,,10,10,1.0,bgm_story_fairytalesend_if,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_7,d_main_24af_04,Narration,Locale_MainScenario:d_main_24af_04_7,False,EventScene_Chap_24_After2_01,black,black,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_8,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_8,True,,andersen_24chap_01,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_9,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_9,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_10,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_10,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_11,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_11,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_12,d_main_24af_04,Monologue,Locale_MainScenario:d_main_24af_04_12,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_13,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_13,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_14,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_14,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_15,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_15,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_16,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_16,True,,andersen_24chap_02,andersen_24chap_04,2.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_17,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_17,True,,andersen_24chap_04,andersen_24chap_04,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_18,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_18,True,,andersen_24chap_04,andersen_24chap_04,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_19,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_19,True,,andersen_24chap_04,andersen_24chap_04,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_20,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_20,False,,andersen_24chap_04,andersen_24chap_04,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_21,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_21,True,,andersen_24chap_04,andersen_24chap_03,2.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_22,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_22,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_23,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_23,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_24,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_24,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_25,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_25,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_26,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_26,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
