id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_20_08_s_1,d_main_20_08_s,Monologue,Monologue,Locale_MainScenario:d_main_20_08_s_1,False,Volcano_01,7,3,2.0,bgm_emergency,,,,,,,,,,,,,,,,,,
d_main_20_08_s_2,d_main_20_08_s,Monologue,Monologue,Locale_MainScenario:d_main_20_08_s_2,False,,3,3,1.0,,nihilister,3,idle,,,,,,,,,,,,,,,
d_main_20_08_s_3,d_main_20_08_s,Narration,Narration,Locale_MainScenario:d_main_20_08_s_3,False,,3,3,1.0,,,3,idle,sfx_scn_heavytrip,Low_2,,,,,,,,,,,,,
d_main_20_08_s_4,d_main_20_08_s,Speech,papillon,Locale_MainScenario:d_main_20_08_s_4,True,,3,12,0.3,,,3,idle,,Low_2,papillon,papillon,12,surprise,,,,,,,,,
d_main_20_08_s_5,d_main_20_08_s,Speech,neon,Locale_MainScenario:d_main_20_08_s_5,True,,12,14,0.3,,,3,idle,,Low_2,neon,,12,surprise,neon,14,worry,,,,,,
d_main_20_08_s_6,d_main_20_08_s,Speech,rapi,Locale_MainScenario:d_main_20_08_s_6,True,,14,16,0.3,,,3,idle,,Low_2,rapi,,12,surprise,,14,worry,rapi,16,no,,,
d_main_20_08_s_7,d_main_20_08_s,Speech,anis,Locale_MainScenario:d_main_20_08_s_7,True,,16,18,0.3,,,3,idle,,Low_2,anis,,12,idle,,14,worry,,16,no,anis,18,sad
d_main_20_08_s_8,d_main_20_08_s,Speech,anis,Locale_MainScenario:d_main_20_08_s_8,True,,18,180,0.5,,,3,idle,,,anis,,12,idle,,14,idle,,16,no,,18,angry
d_main_20_08_s_9,d_main_20_08_s,Self,Self,Locale_MainScenario:d_main_20_08_s_9,False,,180,180,1.0,,,3,idle,,,,,12,idle,,14,idle,,16,idle,,18,angry
d_main_20_08_s_10,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_10,True,,3,3,1.0,,,3,angry2,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_11,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_11,True,,3,3,1.0,,,3,angry2,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_12,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_12,True,,3,3,1.0,none,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_13,d_main_20_08_s,Self,Self,Locale_MainScenario:d_main_20_08_s_13,False,,3,3,1.0,,,3,idle,,,,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_14,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_14,True,,3,30,2.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_15,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_15,True,,30,30,1.0,bgm_enemyclose,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_16,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_16,True,,30,30,1.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_17,d_main_20_08_s,Self,Self,Locale_MainScenario:d_main_20_08_s_17,False,,30,30,1.0,,,3,idle,,,,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_18,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_18,True,,30,30,1.0,,,3,smile,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_19,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_19,True,,30,30,1.0,,,3,smile,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
