id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_subquest_1102_s_1,d_subquest_1102_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1102_s_1,True,CityForest_03,S_150,S_150,1.0,bgm_story_whosdumber,,,rapi,1,idle,,anis,13,idle,,neon,15,idle,,raptilion,5,idle,raptilion_me,9,idle
d_subquest_1102_s_2,d_subquest_1102_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1102_s_2,True,,raptilion_9,raptilion_9,1.0,,,,,1,idle,,,13,idle,,,15,worry,,,5,idle,,9,idle
d_subquest_1102_s_3,d_subquest_1102_s,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1102_s_3,False,,raptilion_9,raptilion_5,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_4,d_subquest_1102_s,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1102_s_4,False,,raptilion_5,raptilion_5,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_5,d_subquest_1102_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1102_s_5,True,,14,14,1.0,,,,,1,idle,,,13,worry,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_6,d_subquest_1102_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1102_s_6,True,,14,14,1.0,,,,,1,idle,,,13,worry,,,15,no,,,5,idle,,9,idle
d_subquest_1102_s_7,d_subquest_1102_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1102_s_7,True,,14,12,1.0,,,,,1,think,,,13,worry,,,15,no,,,5,idle,,9,idle
d_subquest_1102_s_8,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_8,False,,raptilion_5,raptilion_5,1.0,,,,,1,think,,,13,worry,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_9,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_9,False,,raptilion_5,raptilion_5,1.0,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_10,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_10,False,,raptilion_5,raptilion_5,1.0,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_11,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_11,False,,raptilion_5,raptilion_9,1.0,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_12,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_12,False,,raptilion_9,raptilion_9,1.0,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_13,d_subquest_1102_s,Narration,rapi,,Locale_SubScenario:d_subquest_1102_s_13,False,,raptilion_9,raptilion_9,1.0,,sfx_scn_machinefan,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_14,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_14,False,,raptilion_9,raptilion_9,1.0,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_15,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_15,False,,raptilion_9,raptilion_9,1.0,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_16,d_subquest_1102_s,Monologue,rapi,,Locale_SubScenario:d_subquest_1102_s_16,False,,black,black,1.0,,,,,1,idle,rapi,,13,void,anis,,15,idle,neon,,5,idle,,9,idle
d_subquest_1102_s_17,d_subquest_1102_s,Narration,rapi,,Locale_SubScenario:d_subquest_1102_s_17,False,,raptilion_9,raptilion_9,1.0,,sfx_scn_machinefanhard,Low_2,rapi,1,idle,,anis,13,void,,neon,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_18,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_18,False,,raptilion_9,raptilion_5,0.5,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_19,d_subquest_1102_s,Narration,rapi,,Locale_SubScenario:d_subquest_1102_s_19,False,,raptilion_5,5,0.5,,sfx_scn_rapturehowl,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_20,d_subquest_1102_s,Speech,rapi,raptilion,Locale_SubScenario:d_subquest_1102_s_20,False,,5,raptilion_5,0.5,,,,,1,idle,,,13,void,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_21,d_subquest_1102_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1102_s_21,False,,14,14,1.0,,,,,1,idle,,,13,worry,,,15,idle,,,5,idle,,9,idle
d_subquest_1102_s_22,d_subquest_1102_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1102_s_22,False,,14,14,1.0,,,,,1,idle,,,13,worry,,,15,surprise,,,5,idle,,9,idle
d_subquest_1102_s_23,d_subquest_1102_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1102_s_23,True,,14,10,0.5,,,,,1,angry,,,13,worry,,,15,surprise,,,5,idle,,9,idle
d_subquest_1102_s_24,d_subquest_1102_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1102_s_24,True,,10,S_150,0.5,,,,,1,angry,,,13,worry,,,15,no,,,5,idle,,9,idle
d_subquest_1102_s_25,d_subquest_1102_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1102_s_25,True,,130,130,1.0,,,,,1,angry,,,13,sad,,,15,no,,,5,idle,,9,idle
