id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_31_07_1,d_main_31_07,Narration,grave_no,Locale_MainScenario:d_main_31_07_1,False,CrystalField_2,1,1,1.0,sfx_scn_dragmed,bgm_story_confront,,,,,grave_no,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_31_07_2,d_main_31_07,Narration,grave_no,Locale_MainScenario:d_main_31_07_2,False,,1,1,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_31_07_3,d_main_31_07,Speech,grave_no,Locale_MainScenario:d_main_31_07_3,True,,1,L_10,1.0,,,grave_no,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_31_07_4,d_main_31_07,Narration,grave_no,Locale_MainScenario:d_main_31_07_4,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_31_07_5,d_main_31_07,Narration,grave_no,Locale_MainScenario:d_main_31_07_5,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_31_07_6,d_main_31_07,Speech,grave_no,Locale_MainScenario:d_main_31_07_6,False,,L_10,L_10,1.0,,,grave_no,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_31_07_7,d_main_31_07,Speech,behemoth,Locale_MainScenario:d_main_31_07_7,True,,L_10,50,1.0,,,behemoth,,,,,1,idle,,behemoth,5,surprise,,,,,,,,,,,,,,,,,
d_main_31_07_8,d_main_31_07,Speech,behemoth,Locale_MainScenario:d_main_31_07_8,True,,50,50,1.0,,,behemoth,,,,,1,idle,,,5,idle,,,,,,,,,,,,,,,,,
d_main_31_07_9,d_main_31_07,Speech,behemoth,Locale_MainScenario:d_main_31_07_9,True,,50,50,1.0,,,behemoth,,,,,1,idle,,,5,idle,,,,,,,,,,,,,,,,,
d_main_31_07_10,d_main_31_07,Narration,behemoth,Locale_MainScenario:d_main_31_07_10,False,,50,5,1.0,sfx_scn_2touch,,,,,,,1,idle,,,5,idle,,,,,,,,,,,,,,,,,
d_main_31_07_11,d_main_31_07,Speech,grave_no,Locale_MainScenario:d_main_31_07_11,True,,1,1,1.0,,,grave_no,,,,,1,idle,,,5,idle,,,,,,,,,,,,,,,,,
d_main_31_07_12,d_main_31_07,Speech,behemoth,Locale_MainScenario:d_main_31_07_12,True,,5,5,1.0,,,behemoth,,,,,1,idle,,,5,good,,,,,,,,,,,,,,,,,
d_main_31_07_13,d_main_31_07,Speech,behemoth,Locale_MainScenario:d_main_31_07_13,True,,5,5,1.0,,,behemoth,,,,,1,idle,,,5,good,,,,,,,,,,,,,,,,,
d_main_31_07_14,d_main_31_07,Speech,behemoth,Locale_MainScenario:d_main_31_07_14,True,,5,50,1.0,,,behemoth,,,,,1,idle,,,5,good,,,,,,,,,,,,,,,,,
