id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id
d_main_35_06_1,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_1,False,leviathan,1,surprise,EggArea,1,1,1.0,bgm_chapter35_field_swamp_b,
d_main_35_06_2,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_2,True,,1,pain,,1,S_10,1.0,,
d_main_35_06_3,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_3,True,,1,pain,,S_10,S_10,1.0,,
d_main_35_06_4,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_4,True,,1,pain,,S_10,S_10,1.0,,
d_main_35_06_5,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_5,False,,1,think_02,,S_10,S_10,1.0,,
d_main_35_06_6,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_6,True,,1,think_02,,S_10,S_10,1.0,,
d_main_35_06_7,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_7,True,,1,think_02,,S_10,S_10,1.0,,
d_main_35_06_8,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_8,True,,1,think_02,,S_10,S_10,1.0,,
d_main_35_06_9,d_main_35_06,Narration,leviathan,,Locale_MainScenario:d_main_35_06_9,False,,1,think_02,EventScene_Chap_35_03_02,black,black,1.0,,leviathan
d_main_35_06_10,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_10,False,,,,,1,1,1.0,,
d_main_35_06_11,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_11,True,,,,,1,1,1.0,,
d_main_35_06_12,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_12,True,,,,,1,1,1.0,,
d_main_35_06_13,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_13,True,,,,,1,1,1.0,,
d_main_35_06_14,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_14,True,,,,,1,1,1.0,,
d_main_35_06_15,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_15,True,,,,,1,1,1.0,,
d_main_35_06_16,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_16,True,,,,,1,1,1.0,,
d_main_35_06_17,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_17,True,,,,,1,1,1.0,,
d_main_35_06_18,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_18,True,,,,,1,1,1.0,,
d_main_35_06_19,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_19,False,,,,,1,1,1.0,,
d_main_35_06_20,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_20,True,,,,,1,1,1.0,,
d_main_35_06_21,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_21,True,,,,,1,1,1.0,,
