id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_30_07_e_1,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_1,False,EventScene_Chap_30_04_01,black,black,1.0,sfx_scn_3energyballfire,bgm_disaster,,,,,,,,,,,,,,,,
d_main_30_07_e_2,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_2,False,,d_main_30_07_e_1,d_main_30_07_e_1,1.0,,,,,,,,,,,,,,,,,,
d_main_30_07_e_3,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_3,False,,d_main_30_07_e_1,d_main_30_07_e_3,1.0,,,,,,,,,,,,,,,,,,
d_main_30_07_e_4,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_4,False,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,sfx_scn_fireblindly,,Low_2,,,,,,,,,,,,,,,
d_main_30_07_e_5,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_5,True,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_6,d_main_30_07_e,Self,Locale_MainScenario:d_main_30_07_e_6,False,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_7,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_7,True,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_8,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_8,True,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_9,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_9,True,,d_main_30_07_e_3,d_main_30_07_e_2,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_10,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_10,True,,d_main_30_07_e_2,d_main_30_07_e_2,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_11,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_11,True,,d_main_30_07_e_2,d_main_30_07_e_2,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_12,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_12,False,,d_main_30_07_e_2,d_main_30_07_e_3,1.0,sfx_scn_energyballfire,,Low_2,rapi,,,,,,,,,,,,,,
d_main_30_07_e_13,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_13,False,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_14,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_14,False,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_15,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_15,True,,d_main_30_07_e_3,d_main_30_07_e_3,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_16,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_16,False,EventScene_Chap_30_04_02,black,black,1.0,sfx_scn_coffinwhoosh,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_17,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_17,False,,black,black,1.0,sfx_scn_coffinattack,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_18,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_18,True,,d_main_30_07_e_4,d_main_30_07_e_5,0.5,,,Low_2,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_19,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_19,False,,d_main_30_07_e_5,d_main_30_07_e_5,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_20,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_20,False,,d_main_30_07_e_5,d_main_30_07_e_5,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_21,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_21,True,,d_main_30_07_e_5,d_main_30_07_e_5,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_22,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_22,True,,d_main_30_07_e_5,1,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_23,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_23,False,EventScene_Chap_30_04_03,black,black,1.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_24,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_24,False,,18,1,2.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_25,d_main_30_07_e,Self,Locale_MainScenario:d_main_30_07_e_25,False,,1,1,1.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_26,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_26,True,,1,d_main_30_07_e_6,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_27,d_main_30_07_e,Self,Locale_MainScenario:d_main_30_07_e_27,False,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_28,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_28,True,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_29,d_main_30_07_e,Self,Locale_MainScenario:d_main_30_07_e_29,False,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_30,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_30,True,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_31,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_31,True,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_32,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_32,True,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_33,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_33,True,,d_main_30_07_e_6,d_main_30_07_e_6,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_34,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_34,True,,d_main_30_07_e_6,15,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_35,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_35,True,,15,15,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_36,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_36,True,,15,15,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_37,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_37,False,EventScene_Chap_30_04_04,black,black,1.0,sfx_scn_rapi_mode,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_38,d_main_30_07_e,Self,Locale_MainScenario:d_main_30_07_e_38,False,,1,1,1.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_39,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_39,True,,1,10,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_40,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_40,False,,10,10,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_41,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_41,True,,10,10,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_42,d_main_30_07_e,Self,Locale_MainScenario:d_main_30_07_e_42,False,,10,10,1.0,,,,grave,,,,,,,,,,,,,,
d_main_30_07_e_43,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_43,True,,10,10,1.0,,,,grave,grave,,,,,,,,,,,,,
d_main_30_07_e_44,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_44,True,,10,10,1.0,,,,rapi,rapi,,,,,,,,,,,,,
d_main_30_07_e_45,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_45,False,EventScene_Chap_30_04_05,black,black,1.0,,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_46,d_main_30_07_e,Narration,Locale_MainScenario:d_main_30_07_e_46,False,,black,black,1.0,sfx_scn_bighitwall,,,rapi,,,,,,,,,,,,,,
d_main_30_07_e_47,d_main_30_07_e,Speech,Locale_MainScenario:d_main_30_07_e_47,True,,1,1,1.0,,,,rapi,rapi,,,,,,,,,,,,,
