id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,highlight,speaker,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hospital_07_01,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_01,False,Park_n,17,17,1.0,none,,,,,,,,bay,1,idle,pepper,3,idle,
d_ex_hospital_07_02,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_02,False,,17,19,1.0,,Blur_Middle,Vignetting,,,,,,,1,idle,,3,idle,
d_ex_hospital_07_03,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_03,False,Hospital,19,17,1.0,bgm_story_leisuretime,Blur_Middle,,black,,,,,,1,idle,,3,idle,
d_ex_hospital_07_04,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_04,True,,17,2,1.0,,,,,bay,bay,,,,1,sad,,3,surprise,
d_ex_hospital_07_05,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_05,True,,2,2,1.0,,,,,pepper,pepper,,,,1,sad,,3,surprise,
d_ex_hospital_07_06,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_06,False,,2,2,1.0,,,,,pepper,,,,,1,sad,,3,surprise,
d_ex_hospital_07_07,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_07,False,,2,2,1.0,,,,,pepper,,,,,1,sad,,3,surprise,
d_ex_hospital_07_08,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_08,False,,2,2,1.0,,,,,bay,bay,Low_2,,,1,sad,,3,idle,
d_ex_hospital_07_09,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_09,True,,2,2,1.0,,,,,pepper,pepper,,,,1,sad,,3,idle,
d_ex_hospital_07_10,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_10,False,,2,2,1.0,,,,,pepper,,,,,1,sad,,3,idle,
d_ex_hospital_07_11,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_11,True,,2,2,1.0,,,,,bay,bay,,,,1,sad,,3,idle,
d_ex_hospital_07_12,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_12,True,,2,2,1.0,,,,,bay,bay,,,,1,sad,,3,idle,
