id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_camera_shake
d_main_26_4_1,d_main_26_04,Self,redhood,Locale_MainScenario:d_main_26_4_1,False,redhood,1,idle,Desert_05,1,1,1.0,bgm_highnoon,,,
d_main_26_4_2,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_2,True,,1,idle,,1,10,1.0,,redhood,,
d_main_26_4_3,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_3,True,,1,shy,,10,10,1.0,,redhood,,
d_main_26_4_4,d_main_26_04,Self,redhood,Locale_MainScenario:d_main_26_4_4,False,,1,shy,,10,10,1.0,,,,
d_main_26_4_5,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_5,True,,1,idle,,10,10,1.0,,redhood,,
d_main_26_4_6,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_6,True,,1,idle,,10,10,1.0,,redhood,,
d_main_26_4_7,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_7,True,,1,idle,,10,10,1.0,,redhood,,
d_main_26_4_8,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_8,True,,1,idle,,10,10,1.0,,redhood,,
d_main_26_4_9,d_main_26_04,Self,redhood,Locale_MainScenario:d_main_26_4_9,False,,1,idle,,10,10,1.0,,,,
d_main_26_4_10,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_10,True,,1,shy,,10,10,1.0,,redhood,,
d_main_26_4_11,d_main_26_04,Speech,redhood,Locale_MainScenario:d_main_26_4_11,True,,1,shy,,10,10,1.0,,redhood,,
d_main_26_4_12,d_main_26_04,Self,redhood,Locale_MainScenario:d_main_26_4_12,False,,1,shy,,10,10,1.0,,,,
