id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake
d_subquest_1132_1,d_subquest_1132,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1132_1,False,rapi,3,idle,anis,1,void,neon,13,idle,CityForest_01,2,2,1.0,bgm_story_herecomestrouble,,
d_subquest_1132_2,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_2,False,,3,idle,,1,void,,13,idle,,2,2,1.0,,,
d_subquest_1132_3,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_3,False,,3,idle,,1,void,,13,idle,,2,12,1.0,,,
d_subquest_1132_4,d_subquest_1132,Self,,,Locale_SubScenario:d_subquest_1132_4,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,,
d_subquest_1132_5,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_5,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,,
d_subquest_1132_6,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_6,True,,3,idle,,1,worry,,13,idle,,12,12,1.0,,,
d_subquest_1132_7,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_7,True,,3,idle,,1,worry,,13,no,,12,12,1.0,,,
d_subquest_1132_8,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_8,True,,3,idle,,1,worry,,13,no,,12,12,1.0,,,
d_subquest_1132_9,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_9,True,,3,idle,,1,worry,,13,no,,12,12,1.0,,,
d_subquest_1132_10,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_10,True,,3,idle,,1,void,,13,no,,12,12,1.0,,,
d_subquest_1132_11,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_11,True,,3,idle,,1,void,,13,no,,12,12,1.0,,,
d_subquest_1132_12,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_12,True,,3,idle,,1,void,,13,worry,,12,12,1.0,,,
d_subquest_1132_13,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_13,True,,3,idle,,1,void,,13,worry,,12,12,1.0,,,
d_subquest_1132_14,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_14,True,,3,idle,,1,void,,13,worry,,12,12,1.0,,,
d_subquest_1132_15,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_15,True,,3,idle,,1,worry,,13,worry,,12,12,1.0,,,
d_subquest_1132_16,d_subquest_1132,Narration,,,Locale_SubScenario:d_subquest_1132_16,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,black,
d_subquest_1132_17,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_17,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,
d_subquest_1132_18,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_18,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,
d_subquest_1132_19,d_subquest_1132,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1132_19,True,,3,idle,,1,idle,,13,idle,,12,2,1.0,,,
d_subquest_1132_20,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_20,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,
d_subquest_1132_21,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_21,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,
d_subquest_1132_22,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_22,True,,3,idle,,1,idle,,13,shy,,2,12,1.0,,,
d_subquest_1132_23,d_subquest_1132,Self,,,Locale_SubScenario:d_subquest_1132_23,False,,3,idle,,1,idle,,13,shy,,12,12,1.0,,,
d_subquest_1132_24,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_24,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,
d_subquest_1132_25,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_25,True,,3,idle,,1,delight,,13,angry,,12,12,1.0,,,
d_subquest_1132_26,d_subquest_1132,Self,,,Locale_SubScenario:d_subquest_1132_26,False,,3,idle,,1,delight,,13,angry,,12,12,1.0,,,
d_subquest_1132_27,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_27,True,,3,idle,,1,angry,,13,angry,,12,10,0.6,,,
d_subquest_1132_28,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_28,True,,3,idle,,1,angry,,13,angry,,13,S_130,0.6,,,
d_subquest_1132_29,d_subquest_1132,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1132_29,True,,3,idle,,1,angry,,13,angry,,3,3,1.0,,,
d_subquest_1132_30,d_subquest_1132,Speech,neon,neon,Locale_SubScenario:d_subquest_1132_30,True,,3,idle,,1,angry,,13,angry,,S_130,S_1300,0.6,,,Low_2
d_subquest_1132_31,d_subquest_1132,Speech,anis,anis,Locale_SubScenario:d_subquest_1132_31,True,,3,idle,,1,angry,,13,angry,,10,100,0.6,,,Low_2
