id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_subquest_1094_e_1,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_1,True,Desert_04,1,L_10,1.0,ambient_scn_wind,,,,,rapi,5,idle,,neon,3,idle,,cervan,1,idle,,anis,13,idle,,,,,,,,,
d_subquest_1094_e_2,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_2,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_3,d_subquest_1094_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1094_e_3,True,,130,130,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,no,,,,,,,,,
d_subquest_1094_e_4,d_subquest_1094_e,Self,cervan,Self,Locale_SubScenario:d_subquest_1094_e_4,False,,130,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,no,,,,,,,,,
d_subquest_1094_e_5,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_5,False,,L_10,1,2.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_6,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_6,True,,1,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_7,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_7,True,,1,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_8,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_8,True,,1,L_10,2.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_9,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_9,True,,L_10,L_10,1.0,bgm_story_trauma,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_10,d_subquest_1094_e,Self,cervan,Self,Locale_SubScenario:d_subquest_1094_e_10,False,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_11,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_11,True,,L_10,L_10,1.0,,Low_2,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_12,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_12,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_13,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_13,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_14,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_14,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_15,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_15,True,,L_10,1,2.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_16,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_16,True,,1,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_17,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_17,True,,1,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_18,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_18,True,,1,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_19,d_subquest_1094_e,Choice,cervan,,Locale_SubScenario:d_subquest_1094_e_19,False,,1,1,1.0,,,d_subquest_1094_e_21,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_20,d_subquest_1094_e,Choice,cervan,,Locale_SubScenario:d_subquest_1094_e_20,False,,1,1,1.0,,,d_subquest_1094_e_21,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_21,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_21,True,,1,L_10,2.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_22,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_22,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_23,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_23,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_24,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_24,True,,L_10,L_10,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_25,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_25,True,,L_10,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
d_subquest_1094_e_26,d_subquest_1094_e,Speech,cervan,cervan,Locale_SubScenario:d_subquest_1094_e_26,True,RoyalRoad,1,1,1.0,,,,Grey,,,5,idle,rapi,,3,idle,neon,,1,idle,cervan,,13,idle,anis,adultwoman,1,idle,,,,,
