id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade
d_subquest_1392_e_1,d_subquest_1392_e,Monologue,Locale_SubScenario:d_subquest_1392_e_1,False,rapi,1,idle,land_d,black,black,1.0,bgm_story_sunshinesorrow,,,
d_subquest_1392_e_2,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_2,True,,1,idle,,10,10,1.0,,rapi,rapi,white
d_subquest_1392_e_3,d_subquest_1392_e,Self,Locale_SubScenario:d_subquest_1392_e_3,False,,1,idle,,10,10,1.0,,,,
d_subquest_1392_e_4,d_subquest_1392_e,Monologue,Locale_SubScenario:d_subquest_1392_e_4,False,,1,idle,,14,15,1.0,,,,
d_subquest_1392_e_5,d_subquest_1392_e,Monologue,Locale_SubScenario:d_subquest_1392_e_5,False,,1,idle,,15,14,1.0,,,,
d_subquest_1392_e_6,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_6,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_7,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_7,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_8,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_8,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_9,d_subquest_1392_e,Self,Locale_SubScenario:d_subquest_1392_e_9,False,,1,worry,,10,10,1.0,,,,
d_subquest_1392_e_10,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_10,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_11,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_11,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_12,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_12,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_13,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_13,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_14,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_14,True,,1,worry,,10,100,1.0,,rapi,rapi,
d_subquest_1392_e_15,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_15,True,,1,worry,,100,100,1.0,,rapi,rapi,
d_subquest_1392_e_16,d_subquest_1392_e,Self,Locale_SubScenario:d_subquest_1392_e_16,False,,1,worry,,100,100,1.0,,,,
d_subquest_1392_e_17,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_17,False,,1,think,,100,100,1.0,,rapi,rapi,
d_subquest_1392_e_18,d_subquest_1392_e,Self,Locale_SubScenario:d_subquest_1392_e_18,False,,1,think,,100,100,1.0,,,,
d_subquest_1392_e_19,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_19,True,,1,think,,100,100,1.0,,rapi,rapi,
d_subquest_1392_e_20,d_subquest_1392_e,Self,Locale_SubScenario:d_subquest_1392_e_20,False,,1,think,,100,100,1.0,,,,
d_subquest_1392_e_21,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_21,False,,1,think,,100,10,1.0,,rapi,rapi,
d_subquest_1392_e_22,d_subquest_1392_e,Monologue,Locale_SubScenario:d_subquest_1392_e_22,False,,1,think,,10,10,1.0,,,,
d_subquest_1392_e_23,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_23,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_24,d_subquest_1392_e,Speech,Locale_SubScenario:d_subquest_1392_e_24,True,,1,worry,,10,10,1.0,,rapi,rapi,
d_subquest_1392_e_25,d_subquest_1392_e,Self,Locale_SubScenario:d_subquest_1392_e_25,False,,1,worry,,10,10,1.0,,,,
