id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_wingofvictory_08_1,d_ex_wingofvictory_08,Speech,rumani,rumani,Locale_SuddenStory:d_ex_wingofvictory_08_1,True,WingOfVictory,5,50,1.0,none,,,rumani,5,idle,,,,,,,
d_ex_wingofvictory_08_2,d_ex_wingofvictory_08,Self,,Self,Locale_SuddenStory:d_ex_wingofvictory_08_2,False,,50,50,1.0,bgm_story_orangepop,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_3,d_ex_wingofvictory_08,Self,,Self,Locale_SuddenStory:d_ex_wingofvictory_08_3,False,,50,50,1.0,,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_4,d_ex_wingofvictory_08,Speech,rumani,rumani,Locale_SuddenStory:d_ex_wingofvictory_08_4,True,,50,50,1.0,,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_5,d_ex_wingofvictory_08,Speech,rumani,rumani,Locale_SuddenStory:d_ex_wingofvictory_08_5,True,,50,50,1.0,,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_6,d_ex_wingofvictory_08,Speech,rumani,rumani,Locale_SuddenStory:d_ex_wingofvictory_08_6,True,,50,50,1.0,,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_7,d_ex_wingofvictory_08,Self,,Self,Locale_SuddenStory:d_ex_wingofvictory_08_7,False,,50,50,1.0,,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_8,d_ex_wingofvictory_08,Narration,,Narration,Locale_SuddenStory:d_ex_wingofvictory_08_8,False,,3,30,1.0,,Low_2,,,5,idle,,,,,,,
d_ex_wingofvictory_08_9,d_ex_wingofvictory_08,Monologue,,Monologue,Locale_SuddenStory:d_ex_wingofvictory_08_9,False,,30,30,1.0,,,,,5,idle,,,,,,,
d_ex_wingofvictory_08_10,d_ex_wingofvictory_08,Monologue,,Monologue,Locale_SuddenStory:d_ex_wingofvictory_08_10,False,,30,30,1.0,,,,,5,idle,,,,,,,
