id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/hide_char_id,characters/2/hide_char_id
d_main_01af_02_1,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_1,False,andersen,1,idle,Office,1,1,1.0,bgm_story_fairytalesend_a,,,,,,,,,,,
d_main_01af_02_2,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_2,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_3,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_3,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_4,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_4,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_5,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_5,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_6,d_main_01af_02,Choice,andersen,,Locale_MainScenario:d_main_01af_02_6,True,,1,idle,,1,1,1.0,,d_main_01af_02_8,,,,,,,,,,
d_main_01af_02_7,d_main_01af_02,Choice,andersen,,Locale_MainScenario:d_main_01af_02_7,True,,1,idle,,1,1,1.0,,d_main_01af_02_8,,,,,,,,,,
d_main_01af_02_8,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_8,False,,1,think,,1,L_10,1.0,,,,,,,,,,,,
d_main_01af_02_9,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_9,True,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,,
d_main_01af_02_10,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_10,True,,1,idle,,L_10,1,1.0,,,,,,,,,,,,
d_main_01af_02_11,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_11,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_12,d_main_01af_02,Self,andersen,Self,Locale_MainScenario:d_main_01af_02_12,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_13,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_13,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_14,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_14,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_15,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_15,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_main_01af_02_16,d_main_01af_02,Speech,anis,anis,Locale_MainScenario:d_main_01af_02_16,True,,1,idle,,1,1315,1.0,,,rapi,13,idle,anis,15,void,,,,
d_main_01af_02_17,d_main_01af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_02_17,True,,1,idle,,1315,1315,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_18,d_main_01af_02,Speech,anis,anis,Locale_MainScenario:d_main_01af_02_18,True,,1,idle,,1315,1315,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_19,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_19,True,,1,idle,,1,1,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_20,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_20,True,,1,idle,,1,1,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_21,d_main_01af_02,Speech,anis,anis,Locale_MainScenario:d_main_01af_02_21,False,,1,idle,,1,1,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_22,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_22,True,,1,idle,,1,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_23,d_main_01af_02,Self,andersen,Self,Locale_MainScenario:d_main_01af_02_23,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_24,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_24,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_25,d_main_01af_02,Narration,andersen,Narration,Locale_MainScenario:d_main_01af_02_25,True,,1,think,,L_10,L_100,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_26,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_26,True,,1,idle,,L_100,1,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_27,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_27,True,,1,idle,,1,1,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_28,d_main_01af_02,Self,andersen,Self,Locale_MainScenario:d_main_01af_02_28,True,,1,idle,,1,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_29,d_main_01af_02,Speech,anis,anis,Locale_MainScenario:d_main_01af_02_29,False,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,angry,,,,
d_main_01af_02_30,d_main_01af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_02_30,False,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,angry,,,,
d_main_01af_02_31,d_main_01af_02,Speech,anis,anis,Locale_MainScenario:d_main_01af_02_31,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,angry,,,,
d_main_01af_02_32,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_32,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,angry,,,,
d_main_01af_02_33,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_33,True,,1,think,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_34,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_34,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_35,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_35,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_36,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_36,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_37,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_37,True,,1,angry,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_38,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_38,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_39,d_main_01af_02,Self,andersen,Self,Locale_MainScenario:d_main_01af_02_39,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_40,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_40,True,,1,idle,,L_10,L_100,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_41,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_41,True,,1,idle,,L_100,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_42,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_42,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_43,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_43,True,,1,idle,,L_10,L_10,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_44,d_main_01af_02,Choice,andersen,,Locale_MainScenario:d_main_01af_02_44,True,,1,idle,,L_10,L_10,1.0,,d_main_01af_02_46,,13,idle,,15,void,,,,
d_main_01af_02_45,d_main_01af_02,Choice,andersen,,Locale_MainScenario:d_main_01af_02_45,True,,1,idle,,L_10,L_10,1.0,,d_main_01af_02_50,,13,idle,,15,void,,,,
d_main_01af_02_46,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_46,True,,1,good,,L_10,L_100,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_47,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_47,True,,1,good,,L_100,L_100,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_48,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_48,True,,1,good,,L_100,L_100,1.0,,,,13,idle,,15,void,,,,
d_main_01af_02_49,d_main_01af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_02_49,True,,1,think,,L_100,L_10,1.0,,d_main_01af_02_53,,13,idle,,15,void,,,,
