id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_09_02_s_1,d_main_09_02_s,Speech,neon,neon,Locale_MainScenario:d_main_09_02_s_1,True,Factory,S_130,S_130,1.0,bgm_heartdestroyer_a,anis,3,idle,,rapi,1,idle,,neon,13,surprise,,,,,,,,,
d_main_09_02_s_2,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_2,True,,S_130,S_130,1.0,,,3,idle,,,1,idle,,,13,surprise,,exia_op,OP_leftup,idle,,,,,
d_main_09_02_s_3,d_main_09_02_s,Speech,neon,neon,Locale_MainScenario:d_main_09_02_s_3,False,,S_130,S_130,1.0,,,3,idle,,,1,idle,,,13,worry,,,OP_leftup,idle,,,,,
d_main_09_02_s_4,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_4,True,,S_130,S_130,1.0,,,3,idle,anis,,1,idle,rapi,,13,worry,neon,,OP_center,idle,,,,,
d_main_09_02_s_5,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_5,True,,S_130,S_130,1.0,,,,,,,,,,,,,,,OP_center,idle,,,,,
d_main_09_02_s_6,d_main_09_02_s,Self,exia_op,,Locale_MainScenario:d_main_09_02_s_6,True,,S_130,S_130,1.0,,,,,,,,,,,,,,,OP_center,idle,,,,,
d_main_09_02_s_7,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_7,True,,S_130,S_130,1.0,,,,,,,,,,,,,,,OP_center,idle,,,,,
d_main_09_02_s_8,d_main_09_02_s,Self,exia_op,,Locale_MainScenario:d_main_09_02_s_8,True,,S_130,S_130,1.0,,,,,,,,,,,,,,,OP_center,idle,,,,,
d_main_09_02_s_9,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_9,True,,S_130,S_130,1.0,,anis,3,void,,rapi,1,idle,,neon,13,idle,,,OP_leftup,idle,,shifty_r,OP_rightup,idle,
d_main_09_02_s_10,d_main_09_02_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_02_s_10,True,,S_130,S_130,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,
d_main_09_02_s_11,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_11,False,,S_130,S_130,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,etc,,,OP_rightup,no,
d_main_09_02_s_12,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_12,True,,S_130,S_130,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,etc,,,OP_rightup,no,
d_main_09_02_s_13,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_13,True,,S_130,S_130,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,
d_main_09_02_s_14,d_main_09_02_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_02_s_14,False,,S_130,12,1.0,,,3,void,,,1,think,,,13,surprise,,,OP_leftup,idle,exia_op,,OP_rightup,sad,
d_main_09_02_s_15,d_main_09_02_s,Speech,neon,neon,Locale_MainScenario:d_main_09_02_s_15,True,,12,12,1.0,,,3,void,,,1,think,,,13,surprise,,,,,,,OP_rightup,sad,shifty_r
d_main_09_02_s_16,d_main_09_02_s,Speech,anis,anis,Locale_MainScenario:d_main_09_02_s_16,True,,12,2,2.0,,,3,delight,,,1,think,,,13,surprise,,,,,,,,,
d_main_09_02_s_17,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_17,True,,2,2,1.0,,,3,void,,,1,idle,,,13,idle,,exia_op,OP_leftup,idle,,,,,
d_main_09_02_s_18,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_18,True,,2,2,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,idle,,,,,
d_main_09_02_s_19,d_main_09_02_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_02_s_19,True,,2,2,1.0,bgm_emergency,,3,void,,,1,idle,,,13,idle,,,OP_leftup,idle,,shifty_r,OP_rightup,surprise,
d_main_09_02_s_20,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_20,True,,2,2,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,surprise,
d_main_09_02_s_21,d_main_09_02_s,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_s_21,True,,2,2,1.0,,,3,void,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,surprise,
