id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/set_char_position,characters/1/show_char_id,characters/1/set_char_anim,jump_target,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_toyshop_03_1,d_ex_toyshop_03,Narration,Locale_SuddenStory:d_ex_toyshop_03_1,False,ToyShop,black,black,1.0,sfx_scn_chimebell,none,,,,,,,,,,,,,
d_ex_toyshop_03_2,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_2,True,,1,1,1.0,,bgm_story_orangepop,diesel,diesel,diesel,1,delight,,,,,,,,
d_ex_toyshop_03_3,d_ex_toyshop_03,Self,Locale_SuddenStory:d_ex_toyshop_03_3,False,,1,1,1.0,,,,,,1,delight,,,,,,,,
d_ex_toyshop_03_4,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_4,True,,1,10,1.0,,,diesel,diesel,,1,surprise,,,,,,,,
d_ex_toyshop_03_5,d_ex_toyshop_03,Self,Locale_SuddenStory:d_ex_toyshop_03_5,False,,10,10,1.0,,,,,,1,surprise,,,,,,,,
d_ex_toyshop_03_6,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_6,True,,10,10,1.0,,,diesel,diesel,,1,idle,,,,,,,,
d_ex_toyshop_03_7,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_7,True,,10,10,1.0,,,diesel,diesel,,1,idle,,,,,,,,
d_ex_toyshop_03_8,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_8,True,,10,10,1.0,,,diesel,diesel,,1,idle,,,,,,,,
d_ex_toyshop_03_9,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_9,True,,10,10,1.0,,,diesel,diesel,,1,idle,,,,,,,,
d_ex_toyshop_03_10,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_10,True,,10,10,1.0,,,diesel,diesel,,1,idle,,,,,,,,
d_ex_toyshop_03_11,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_11,True,,10,100,1.0,,,diesel,diesel,,1,delight,,,,,,,,
d_ex_toyshop_03_12,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_12,True,,100,100,1.0,,,diesel,diesel,,1,delight,,,,,,,,
d_ex_toyshop_03_13,d_ex_toyshop_03,Self,Locale_SuddenStory:d_ex_toyshop_03_13,False,,100,100,1.0,,,,,,1,delight,,,,,,,,
d_ex_toyshop_03_14,d_ex_toyshop_03,Narration,Locale_SuddenStory:d_ex_toyshop_03_14,False,,100,100,1.0,sfx_scn_chimebell,,,,,1,delight,,,,,,,,
d_ex_toyshop_03_15,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_15,True,,100,100,1.0,,,diesel,diesel,,1,idle,15,,,,,,,
d_ex_toyshop_03_16,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_16,True,,100,113,1.0,,,admi,admi,,1,idle,13,admi,idle,,,,,
d_ex_toyshop_03_17,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_17,True,,113,113,1.0,,,admi,admi,,1,idle,13,,idle,,,,,
d_ex_toyshop_03_18,d_ex_toyshop_03,Self,Locale_SuddenStory:d_ex_toyshop_03_18,False,,113,113,1.0,,,,,,1,idle,13,,idle,,,,,
d_ex_toyshop_03_19,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_19,True,,113,113,1.0,,,diesel,diesel,,1,surprise,13,,idle,,,,,
d_ex_toyshop_03_20,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_20,True,,113,113,1.0,,,diesel,diesel,,1,delight,13,,idle,,,,,
d_ex_toyshop_03_21,d_ex_toyshop_03,Self,Locale_SuddenStory:d_ex_toyshop_03_21,False,,113,XS_130,1.0,,,,,,1,idle,13,,idle,,,,,
d_ex_toyshop_03_22,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_22,True,,XS_130,XS_130,1.0,,,admi,admi,,1,idle,13,,idle,,,,,
d_ex_toyshop_03_23,d_ex_toyshop_03,Speech,Locale_SuddenStory:d_ex_toyshop_03_23,True,,XS_130,XS_130,1.0,,,admi,admi,,1,idle,13,,idle,,,,,
