id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_20_10_s_1,d_main_20_10_s,Narration,Narration,Locale_MainScenario:d_main_20_10_s_1,False,Volcano_02,4,4,1.0,sfx_scn_explosions,bgm_volcanicnest_b,Low_2,,,,,,,,,,,,,,,,,
d_main_20_10_s_2,d_main_20_10_s,Speech,nihilister,Locale_MainScenario:d_main_20_10_s_2,True,,4,4,1.0,,,,nihilister,nihilister,4,smile,,,,,,,,,,,,,
d_main_20_10_s_3,d_main_20_10_s,Speech,nihilister,Locale_MainScenario:d_main_20_10_s_3,True,,4,4,1.0,,,,nihilister,,4,smile,,,,,,,,,,,,,
d_main_20_10_s_4,d_main_20_10_s,Speech,nihilister,Locale_MainScenario:d_main_20_10_s_4,True,,4,40,1.0,,,,nihilister,,4,shy,,,,,,,,,,,,,
d_main_20_10_s_5,d_main_20_10_s,Speech,nihilister,Locale_MainScenario:d_main_20_10_s_5,True,,40,40,1.0,,,,nihilister,,4,shy,,,,,,,,,,,,,
d_main_20_10_s_6,d_main_20_10_s,Narration,Narration,Locale_MainScenario:d_main_20_10_s_6,False,,40,12,0.3,sfx_scn_firemissile,,Low_2,,,4,shy,nihilister,,,,,,,,,,,,
d_main_20_10_s_7,d_main_20_10_s,Speech,rapi,Locale_MainScenario:d_main_20_10_s_7,True,,12,12,1.0,,,,rapi,,,,,rapi,1,idle,neon,13,idle,anis,15,worry,papillon,17,idle
d_main_20_10_s_8,d_main_20_10_s,Speech,neon,Locale_MainScenario:d_main_20_10_s_8,True,,12,12,1.0,,,,neon,,,,,,1,idle,,13,worry,,15,void,,17,idle
d_main_20_10_s_9,d_main_20_10_s,Speech,papillon,Locale_MainScenario:d_main_20_10_s_9,True,,12,16,1.0,,,,papillon,,,,,,1,idle,,13,worry,,15,void,,17,think
d_main_20_10_s_10,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_10,True,,16,16,1.0,,,,anis,,,,,,1,idle,,13,worry,,15,void,,17,think
d_main_20_10_s_11,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_11,True,,16,150,2.0,,,,anis,,,,,,1,idle,,13,idle,,15,worry,,17,think
d_main_20_10_s_12,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_12,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,worry,,17,think
d_main_20_10_s_13,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_13,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,sad,,17,think
d_main_20_10_s_14,d_main_20_10_s,Self,Self,Locale_MainScenario:d_main_20_10_s_14,False,,150,150,1.0,,,,,,,,,,1,idle,,13,idle,,15,sad,,17,think
