id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,play_sound,conversation_id,fade,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_camera_shake,characters/7/hide_char_id
d_main_28_08_e_1,d_main_28_08_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_08_e_1,True,hammering,7,worry,elegg,5,pain,liveryn,3,worry,anis,1,idle,neon,13,idle,rapi,15,idle,CrystalField_2,15,15,1.0,bgm_enemyclose,,,,,,,,,,,,
d_main_28_08_e_2,d_main_28_08_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_08_e_2,True,,7,worry,,5,pain,,3,worry,,1,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,,,,
d_main_28_08_e_3,d_main_28_08_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_08_e_3,True,,7,worry,,5,pain,,3,worry,,1,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,,,,
d_main_28_08_e_4,d_main_28_08_e,Speech,anis,anis,Locale_MainScenario:d_main_28_08_e_4,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_28_08_e_5,d_main_28_08_e,Speech,neon,neon,Locale_MainScenario:d_main_28_08_e_5,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_28_08_e_6,d_main_28_08_e,Self,,,Locale_MainScenario:d_main_28_08_e_6,False,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_28_08_e_7,d_main_28_08_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_08_e_7,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,12,1.0,,shifty,OP_leftup,idle,,,,,,,,,
d_main_28_08_e_8,d_main_28_08_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_08_e_8,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,12,1.0,,,OP_leftup,idle,,,,,,,,,
d_main_28_08_e_9,d_main_28_08_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_08_e_9,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,12,1.0,,,OP_leftup,angry,,,,,,,,,
d_main_28_08_e_10,d_main_28_08_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_08_e_10,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,12,1.0,,,OP_leftup,angry,,,,,,,,,
d_main_28_08_e_11,d_main_28_08_e,Self,,,Locale_MainScenario:d_main_28_08_e_11,False,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,12,3,1.0,,,OP_leftup,angry,shifty,,,,,,,,
d_main_28_08_e_12,d_main_28_08_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_08_e_12,True,,7,worry,,5,pain,,3,surprise,,1,angry,,13,surprise,,15,idle,,3,3,1.0,,,,,,,,,,,,,
d_main_28_08_e_13,d_main_28_08_e,Narration,,,Locale_MainScenario:d_main_28_08_e_13,False,,7,worry,,5,pain,,3,idle,,1,angry,,13,surprise,,15,idle,,3,30,1.0,,,,,,sfx_scn_phonevibration,,,,,,,
d_main_28_08_e_14,d_main_28_08_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_08_e_14,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,30,30,1.0,,,,,,,,,,,,,
d_main_28_08_e_15,d_main_28_08_e,Narration,,,Locale_MainScenario:d_main_28_08_e_15,False,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,30,30,1.0,,,,,,sfx_scn_phonevibration,,,,,,,
d_main_28_08_e_16,d_main_28_08_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_08_e_16,True,,7,worry,,5,pain,,3,pain,,1,angry,,13,surprise,,15,idle,,30,30,1.0,,,,,,,,,,,,,
d_main_28_08_e_17,d_main_28_08_e,Narration,,,Locale_MainScenario:d_main_28_08_e_17,False,,7,worry,,5,pain,,3,pain,,1,angry,,13,surprise,,15,idle,,30,300,1.0,,,,,,sfx_scn_phonevibration,,,,,,,
d_main_28_08_e_18,d_main_28_08_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_08_e_18,True,,7,worry,,5,pain,,3,pain,,1,angry,,13,surprise,,15,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_28_08_e_19,d_main_28_08_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_08_e_19,True,,7,worry,,5,pain,,3,worry,,1,angry,,13,surprise,,15,idle,,30,30,1.0,,,,,,,,,,,,,
d_main_28_08_e_20,d_main_28_08_e,Narration,,,Locale_MainScenario:d_main_28_08_e_20,False,,7,worry,,5,pain,,3,worry,,1,angry,,13,idle,,15,idle,,30,300,1.0,,,,,,sfx_scn_phonevibration,m_main_28_08_e_1,,,,,,
