id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_34_05_1,d_main_34_05,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_05_1,True,BlackPuddle,7,7,1.0,bgm_story_monochrome,,,,grave_p,8,idle,,rapi,6,idle,anis,4,idle,neon,2,idle,,,,,,
d_main_34_05_2,d_main_34_05,Speech,rapi,rapi,Locale_MainScenario:d_main_34_05_2,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_3,d_main_34_05,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_05_3,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_4,d_main_34_05,Speech,rapi,rapi,Locale_MainScenario:d_main_34_05_4,False,,7,7,1.0,,,,,,8,idle,,,6,think,,4,idle,,2,idle,,,,,,
d_main_34_05_5,d_main_34_05,Speech,rapi,rapi,Locale_MainScenario:d_main_34_05_5,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_6,d_main_34_05,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_05_6,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_7,d_main_34_05,Speech,rapi,rapi,Locale_MainScenario:d_main_34_05_7,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_8,d_main_34_05,Speech,rapi,rapi,Locale_MainScenario:d_main_34_05_8,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_9,d_main_34_05,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_05_9,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_10,d_main_34_05,Speech,rapi,rapi,Locale_MainScenario:d_main_34_05_10,True,,7,7,1.0,,,,,,8,idle,,,6,idle,,4,idle,,2,idle,,,,,,
d_main_34_05_11,d_main_34_05,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_05_11,True,,7,L_80,1.0,,,,,,8,delight,,,6,idle,,4,idle,,2,idle,,,,,,
