id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_04af_02_1,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_1,True,NikkeRoom,3,300,0.5,bgm_story_kneeldownfools,,rapi,1,idle,,anis,3,angry,neon,13,idle,syuen,7,idle
d_main_04af_02_2,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_2,True,,7,S_70,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_3,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_3,True,,300,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_4,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_4,False,,300,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_5,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_5,True,,300,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_6,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_6,True,,300,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_7,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_7,True,,S_70,S_70,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_8,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_8,True,,300,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_9,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_9,True,,S_700,S_700,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_10,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_10,True,,30,300,3.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_11,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_11,True,,300,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_12,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_12,True,,300,30,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_13,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_13,True,,30,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_14,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_14,True,,7,S_70,1.0,,,,1,idle,,,3,angry,,13,idle,,7,angry
d_main_04af_02_15,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_15,True,,S_70,S_700,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_16,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_16,True,,S_700,S_700,1.0,,,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_17,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_17,True,,S_700,S_700,1.0,,,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_18,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_18,True,,S_700,S_700,1.0,,,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_19,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_19,True,,S_700,S_700,1.0,,,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_20,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_20,True,,S_700,S_700,1.0,,,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_21,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_21,True,,S_700,S_700,1.0,,,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_22,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_22,True,,30,300,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_23,d_main_04af_02,Choice,anis,,Locale_MainScenario:d_main_04af_02_23,True,,300,300,1.0,,d_main_04af_02_25,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_24,d_main_04af_02,Choice,anis,,Locale_MainScenario:d_main_04af_02_24,True,,300,300,1.0,,d_main_04af_02_29,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_25,d_main_04af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_02_25,True,,10,10,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_26,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_26,True,,30,30,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_27,d_main_04af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_02_27,True,,10,10,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_28,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_28,False,,3,3,1.0,,d_main_04af_02_33,,1,idle,,,3,void,,13,idle,,7,delight
d_main_04af_02_29,d_main_04af_02,Narration,anis,Narration,Locale_MainScenario:d_main_04af_02_29,True,,10,10,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_30,d_main_04af_02,Monologue,anis,,Locale_MainScenario:d_main_04af_02_30,True,,10,10,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_31,d_main_04af_02,Monologue,anis,,Locale_MainScenario:d_main_04af_02_31,True,,10,100,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_32,d_main_04af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_02_32,True,,100,100,1.0,,d_main_04af_02_33,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_33,d_main_04af_02,Speech,anis,anis,Locale_MainScenario:d_main_04af_02_33,True,,3,300,0.5,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_34,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_34,True,,S_70,S_70,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
