id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_30_01_e_1,d_main_30_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_01_e_1,True,WhiteHouse,30,30,1.0,none,,,rapi,3,idle,,anis,5,void,,neon,7,idle,,fragile,1,idle,,,,,,drilley,15,idle,,elegg,17,idle,,,,,,,,,
d_main_30_01_e_2,d_main_30_01_e,Speech,anis,anis,Locale_MainScenario:d_main_30_01_e_2,True,,30,4,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,idle,,,17,idle,,,,,,,,,
d_main_30_01_e_3,d_main_30_01_e,Speech,neon,neon,Locale_MainScenario:d_main_30_01_e_3,True,,4,6,2.0,,,,,3,idle,,,5,void,,,7,surprise,,,1,idle,,,,,,,15,idle,,,17,idle,,,,,,,,,
d_main_30_01_e_4,d_main_30_01_e,Speech,elegg,elegg,Locale_MainScenario:d_main_30_01_e_4,True,,S_170,S_170,1.0,,,,,3,idle,,,5,void,,,7,surprise,,,1,idle,,,,,,,15,idle,,,17,idle,,,,,,,,,
d_main_30_01_e_5,d_main_30_01_e,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_30_01_e_5,True,,S_170,S_170,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,idle,,,17,idle,,trony_op_r,OP_rightup,idle,,,,,
d_main_30_01_e_6,d_main_30_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_30_01_e_6,True,,S_170,S_170,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,idle,,,17,idle,,,OP_rightup,idle,,shifty,OP_leftup,surprise,
d_main_30_01_e_7,d_main_30_01_e,Speech,drilley,drilley,Locale_MainScenario:d_main_30_01_e_7,True,,S_170,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,surprise,,,17,idle,,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_01_e_8,d_main_30_01_e,Speech,drilley,drilley,Locale_MainScenario:d_main_30_01_e_8,True,,16,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,surprise,,,17,idle,,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_01_e_9,d_main_30_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_30_01_e_9,True,,16,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,surprise,,,17,idle,,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_01_e_10,d_main_30_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_30_01_e_10,True,,16,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,surprise,,,17,idle,,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_01_e_11,d_main_30_01_e,Speech,drilley,drilley,Locale_MainScenario:d_main_30_01_e_11,True,,16,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,angry,,,17,idle,,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_01_e_12,d_main_30_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_30_01_e_12,True,,16,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,angry,,,17,idle,,,OP_rightup,idle,,,OP_leftup,think,
d_main_30_01_e_13,d_main_30_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_30_01_e_13,True,,16,16,1.0,,,,,3,idle,,,5,void,,,7,idle,,,1,idle,,,,,,,15,angry,,,17,idle,,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_01_e_14,d_main_30_01_e,Speech,drilley,drilley,Locale_MainScenario:d_main_30_01_e_14,True,,black,black,1.0,,,,,3,idle,rapi,,5,void,anis,,7,idle,neon,,13,idle,,,,,,,15,surprise,drilley,,17,idle,elegg,,OP_rightup,idle,trony_op_r,,OP_leftup,worry,shifty
d_main_30_01_e_15,d_main_30_01_e,Speech,fragile,fragile,Locale_MainScenario:d_main_30_01_e_15,True,,13,S_130,1.0,,,,,,,,,,,,,,,,,13,think,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_e_16,d_main_30_01_e,Monologue,fragile,,Locale_MainScenario:d_main_30_01_e_16,False,,S_130,S_130,1.0,,,,,,,,,,,,,,,,,13,think,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_e_17,d_main_30_01_e,Monologue,fragile,,Locale_MainScenario:d_main_30_01_e_17,False,,S_130,12,2.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,13,think,,liveryn,1,worry,,,,,,,,,,,,,,,,,
d_main_30_01_e_18,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_18,True,,12,12,1.0,,,,,,,,,,,,,,,,,13,think,,,1,worry,,,,,,,,,,,,,,,,,
d_main_30_01_e_19,d_main_30_01_e,Speech,fragile,fragile,Locale_MainScenario:d_main_30_01_e_19,True,,12,12,1.0,,,,,,,,,,,,,,,,,13,think,,,1,worry,,,,,,,,,,,,,,,,,
d_main_30_01_e_20,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_20,True,,12,12,1.0,,,,,,,,,,,,,,,,,13,think,,,1,worry,,,,,,,,,,,,,,,,,
d_main_30_01_e_21,d_main_30_01_e,Speech,fragile,fragile,Locale_MainScenario:d_main_30_01_e_21,True,,12,S_130,1.0,,,,,,,,,,,,,,,,,13,think,,,1,worry,,,,,,,,,,,,,,,,,
d_main_30_01_e_22,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_22,True,,S_130,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,sad,,,,,,,,,,,,,,,,,
d_main_30_01_e_23,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_23,True,,10,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,sad,,,,,,,,,,,,,,,,,
d_main_30_01_e_24,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_24,True,,10,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_25,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_25,True,,10,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_26,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_26,True,,10,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_27,d_main_30_01_e,Narration,liveryn,,Locale_MainScenario:d_main_30_01_e_27,False,,10,100,2.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_28,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_28,True,,100,100,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_29,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_29,True,,100,100,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_30,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_30,True,,100,100,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_31,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_31,True,,100,100,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_32,d_main_30_01_e,Speech,fragile,fragile,Locale_MainScenario:d_main_30_01_e_32,True,,black,black,1.0,,,,,,,,,,,,,,,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,
d_main_30_01_e_33,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_33,True,,100,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,surprise,,,,,,,,,,,,,,,,,
d_main_30_01_e_34,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_34,True,,10,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,special,,,,,,,,,,,,,,,,,
d_main_30_01_e_35,d_main_30_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_01_e_35,True,,10,10,1.0,,,,,,,,,,,,,,,,,13,think,,,1,special,,,,,,,,,,,,,,,,,
d_main_30_01_e_36,d_main_30_01_e,Speech,fragile,fragile,Locale_MainScenario:d_main_30_01_e_36,True,,S_130,S_130,1.0,,,,,,,,,,,,,,,,,13,think,,,1,special,,,,,,,,,,,,,,,,,
d_main_30_01_e_37,d_main_30_01_e,Monologue,fragile,,Locale_MainScenario:d_main_30_01_e_37,False,,S_130,12,2.0,,,,,,,,,,,,,,,,,13,think,,,1,special,,,,,,,,,,,,,,,,,
