id,group_id,speech_window,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/1/hide_char_id,fade
d_ex_workshop_06_1,d_ex_workshop_06,Narration,Locale_SuddenStory:d_ex_workshop_06_1,False,liter,1,idle,Workshop,2,2,1.0,sfx_scn_autodooropen,bgm_story_orangepop,,,,,,,,,,,
d_ex_workshop_06_2,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_2,True,,1,idle,,2,2,1.0,,,mast,mast,mast,3,idle,,,,,,
d_ex_workshop_06_3,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_3,True,,1,idle,,2,2,1.0,,,liter,liter,,3,idle,,,,,,
d_ex_workshop_06_4,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_4,False,,1,idle,,2,2,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_5,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_5,True,,1,idle,,2,2,1.0,,,liter,liter,,3,shy,,,,,,
d_ex_workshop_06_6,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_6,True,,1,idle,,2,30,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_7,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_7,True,,1,idle,,30,30,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_8,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_8,True,,1,idle,,30,30,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_9,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_9,True,,1,idle,,30,30,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_10,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_10,True,,1,idle,,30,30,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_11,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_11,True,,1,idle,,30,30,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_12,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_12,True,,1,idle,,30,30,1.0,,,mast,mast,,3,idle,,,,,,
d_ex_workshop_06_13,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_13,True,,1,idle,,30,30,1.0,,,mast,mast,,3,idle,,,,,,
d_ex_workshop_06_14,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_14,True,,1,idle,,30,30,1.0,,,mast,mast,,3,idle,,,,,,
d_ex_workshop_06_15,d_ex_workshop_06,Self,Locale_SuddenStory:d_ex_workshop_06_15,False,,1,idle,,30,2,1.0,,,,,,3,idle,,,,,,
d_ex_workshop_06_16,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_16,True,,1,no,,2,XS_10,1.0,,,liter,liter,,3,idle,,,,,,
d_ex_workshop_06_17,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_17,False,,1,no,,XS_10,XS_10,1.0,,,liter,liter,,3,idle,,,,,,
d_ex_workshop_06_18,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_18,True,,1,idle,,XS_10,XS_10,1.0,,,liter,liter,,3,idle,,,,,,
d_ex_workshop_06_19,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_19,True,,1,idle,,XS_10,XS_10,1.0,,,liter,liter,,3,idle,,,,,,
d_ex_workshop_06_20,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_20,True,,1,idle,,XS_10,XS_10,1.0,,,liter,liter,,3,idle,,,,,,
d_ex_workshop_06_21,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_21,True,,1,idle,,XS_10,2,1.0,,,mast,mast,,3,idle2,,,,,,
d_ex_workshop_06_22,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_22,True,,1,idle,,2,2,1.0,,,liter,liter,,3,idle2,,,,,,
d_ex_workshop_06_23,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_23,True,,1,idle,,2,2,1.0,,,mast,mast,,3,idle2,,,,,,
d_ex_workshop_06_24,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_24,True,,1,idle,,2,2,1.0,,,liter,liter,,3,idle2,,,,,,
d_ex_workshop_06_25,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_25,True,,1,idle,,2,2,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_26,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_26,True,,1,idle,,2,2,1.0,,,mast,mast,,3,shy,,,,,,
d_ex_workshop_06_27,d_ex_workshop_06,Narration,Locale_SuddenStory:d_ex_workshop_06_27,False,,1,idle,,black,black,1.0,,,,,,3,shy,,,,,,
d_ex_workshop_06_28,d_ex_workshop_06,Monologue,Locale_SuddenStory:d_ex_workshop_06_28,False,,1,idle,,black,black,1.0,,,,,,3,shy,,,,,,
d_ex_workshop_06_29,d_ex_workshop_06,Self,Locale_SuddenStory:d_ex_workshop_06_29,False,,1,idle,,2,2,1.0,,,,,,3,shy,,,,,,
d_ex_workshop_06_30,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_30,True,,1,angry,,2,2,1.0,,,liter,liter,,3,shy,,,,,,
d_ex_workshop_06_31,d_ex_workshop_06,Speech,Locale_SuddenStory:d_ex_workshop_06_31,False,,1,angry,,2,2,1.0,,,mast,mast,,3,shy,,,,,,
