id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,conversation_id
d_main_30_af_03_1,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_1,False,JailCorridor,3,1,1.0,none,,,,,,,
d_main_30_af_03_2,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_2,False,,1,1,1.0,,liveryn,liveryn,1,worry,,,
d_main_30_af_03_3,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_3,False,,1,1,1.0,,,,1,worry,sfx_scn_metaldooropen,,
d_main_30_af_03_4,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_4,False,,1,1,1.0,,,,1,worry,sfx_scn_phonedrop,,
d_main_30_af_03_5,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_5,False,,1,10,1.0,,liveryn,,1,worry,,,
d_main_30_af_03_6,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_6,True,,10,10,1.0,,liveryn,,1,worry,,,
d_main_30_af_03_7,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_7,False,,10,10,1.0,,liveryn,,1,worry,,,
d_main_30_af_03_8,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_8,False,,10,10,1.0,,,,1,worry,sfx_scn_phonevibration,Low_2,
d_main_30_af_03_9,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_9,True,,10,1,0.6,,liveryn,,1,surprise,,,
d_main_30_af_03_10,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_10,False,,1,1,1.0,,,,1,surprise,sfx_scn_phonevibration,Low_2,
d_main_30_af_03_11,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_11,False,,1,1,1.0,,liveryn,,1,worry,,,
d_main_30_af_03_12,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_12,False,,1,10,1.0,bgm_enemyclose,,,1,worry,,,
d_main_30_af_03_13,d_main_30_af_03,Narration,liveryn,Locale_MainScenario:d_main_30_af_03_13,False,,10,10,1.0,,,,1,worry,sfx_scn_phonevibration,Low_2,
d_main_30_af_03_14,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_14,True,,10,10,1.0,,liveryn,,1,pain,,,m_main_30_af_03
d_main_30_af_03_15,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_15,False,,10,10,1.0,,liveryn,,1,special,,,
d_main_30_af_03_16,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_16,True,,10,1,0.6,,liveryn,,1,special,,,
d_main_30_af_03_17,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_17,True,,1,1,1.0,,liveryn,,1,special,,,
d_main_30_af_03_18,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_18,False,,1,1,1.0,,liveryn,,1,pain,,,
d_main_30_af_03_19,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_19,True,,1,10,1.5,,liveryn,,1,pain,,,
d_main_30_af_03_20,d_main_30_af_03,Speech,liveryn,Locale_MainScenario:d_main_30_af_03_20,True,,10,10,1.0,,liveryn,,1,pain,,,
