id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_ex_redash_03_3_1,d_ex_redash_03_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_3_1,False,rapunzel_o,7,idle,liliweiss,3,idle,commander,1,idle,dorothy,5,idle,Desert_02,black,black,1.0,none,,,,,,
d_ex_redash_03_3_2,d_ex_redash_03_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_3_2,False,,7,idle,,3,idle,,1,idle,,5,idle,,19,190,0.3,event_bgm_redash_facethat,sfx_scn_gunfire,Low_2,,,,
d_ex_redash_03_3_3,d_ex_redash_03_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_3_3,False,,7,idle,,3,angry,,1,idle,,5,idle,,17,170,0.3,,sfx_scn_explosions,Low_2,,,,
d_ex_redash_03_3_4,d_ex_redash_03_3,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_3_4,True,,7,idle,,3,angry,,1,idle,,5,idle,,170,3,0.5,,,Low_2,liliweiss,,,
d_ex_redash_03_3_5,d_ex_redash_03_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_3_5,True,,7,idle,,3,angry,,1,idle,,5,angry,,6,6,0.3,,,,dorothy,,,
d_ex_redash_03_3_6,d_ex_redash_03_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_3_6,True,,7,idle,,3,angry,,1,idle,,5,angry,,6,6,1.0,,,,dorothy,,,
d_ex_redash_03_3_7,d_ex_redash_03_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_3_7,True,,7,no,,3,angry,,1,idle,,5,angry,,6,6,1.0,,,Low_2,rapunzel_o,,,
d_ex_redash_03_3_8,d_ex_redash_03_3,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_3_8,True,,7,no,,3,angry,,1,idle,,5,angry,,3,30,0.5,,,Low_2,liliweiss,,,
d_ex_redash_03_3_9,d_ex_redash_03_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_3_9,True,,7,no,,3,angry,,1,idle,,5,angry,,6,6,1.0,,,,dorothy,,,
d_ex_redash_03_3_10,d_ex_redash_03_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_3_10,True,,7,no,,3,angry,,1,idle,,5,angry,,6,L_70,0.7,,,Low_2,rapunzel_o,,,
d_ex_redash_03_3_11,d_ex_redash_03_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_3_11,True,,7,no,,3,angry,,1,idle,,5,idle,,L_70,L_70,1.0,,,Low_2,rapunzel_o,,,
d_ex_redash_03_3_12,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_12,True,,7,no,,3,angry,,1,angry,,5,idle,,1,L_10,0.5,,,,commander,,,
d_ex_redash_03_3_13,d_ex_redash_03_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_3_13,True,,7,no,,3,angry,,1,angry,,5,idle,,L_70,L_70,1.0,,,,rapunzel_o,,,
d_ex_redash_03_3_14,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_14,True,,7,no,,3,angry,,1,angry,,5,idle,,L_10,L_10,1.0,,,,commander,,,
d_ex_redash_03_3_15,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_15,True,,7,no,,3,angry,,1,angry,,5,idle,,L_10,L_10,1.0,,,,commander,,,
d_ex_redash_03_3_16,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_16,True,,7,no,,3,angry,,1,angry,,5,idle,,L_10,L_100,0.5,,,,commander,,,
d_ex_redash_03_3_17,d_ex_redash_03_3,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_3_17,True,,7,idle,,3,angry,,1,angry,,5,idle,,L_100,30,0.7,,,,liliweiss,,,
d_ex_redash_03_3_18,d_ex_redash_03_3,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_3_18,True,,7,idle,,3,angry,,1,angry,,5,idle,,9,S_90,0.3,,,Low_2,snowwhite_o,snowwhite_o,9,angry
d_ex_redash_03_3_19,d_ex_redash_03_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_3_19,True,,7,idle,,3,angry,,1,angry,,5,worry,,6,6,1.0,,,,dorothy,,9,angry
d_ex_redash_03_3_20,d_ex_redash_03_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_3_20,True,,7,surprise,,3,angry,,1,angry,,5,worry,,6,6,1.0,,,,rapunzel_o,,9,angry
d_ex_redash_03_3_21,d_ex_redash_03_3,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_3_21,True,,7,surprise,,3,angry,,1,angry,,5,idle,,S_90,S_90,1.0,,,,snowwhite_o,,9,angry
d_ex_redash_03_3_22,d_ex_redash_03_3,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_3_22,True,,7,surprise,,3,angry,,1,angry,,5,idle,,S_90,S_90,1.0,,,,snowwhite_o,,9,angry
d_ex_redash_03_3_23,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_23,False,,7,idle,,3,surprise,,1,surprise,,5,idle,,2,2,1.0,,,,commander,,9,angry
d_ex_redash_03_3_24,d_ex_redash_03_3,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_3_24,True,,7,idle,,3,surprise,,1,surprise,,5,idle,,2,2,1.0,,,,liliweiss,,9,angry
d_ex_redash_03_3_25,d_ex_redash_03_3,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_3_25,True,,7,idle,,3,surprise,,1,surprise,,5,idle,,S_90,S_90,1.0,,,Low_2,snowwhite_o,,9,angry
d_ex_redash_03_3_26,d_ex_redash_03_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_3_26,True,,7,no,,3,surprise,,1,surprise,,5,angry,,6,6,1.0,,,,dorothy,,9,angry
d_ex_redash_03_3_27,d_ex_redash_03_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_3_27,True,,7,no,,3,surprise,,1,surprise,,5,angry,,6,6,1.0,,,,rapunzel_o,,9,angry
d_ex_redash_03_3_28,d_ex_redash_03_3,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_3_28,True,,7,no,,3,surprise,,1,surprise,,5,idle,,S_90,S_900,0.7,,,Low_2,snowwhite_o,,9,angry
d_ex_redash_03_3_29,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_29,True,,7,idle,,3,surprise,,1,no,,5,idle,,2,2,1.0,,,,commander,,9,angry
d_ex_redash_03_3_30,d_ex_redash_03_3,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_3_30,True,,7,idle,,3,idle,,1,no,,5,idle,,2,2,1.0,,,,liliweiss,,9,angry
d_ex_redash_03_3_31,d_ex_redash_03_3,Speech,commander,Locale_SuddenStory:d_ex_redash_03_3_31,True,,7,idle,,3,idle,,1,no,,5,idle,,2,2,1.0,,,,commander,,9,angry
d_ex_redash_03_3_32,d_ex_redash_03_3,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_3_32,True,,7,idle,,3,idle,,1,no,,5,idle,,S_900,S_900,1.0,,,,snowwhite_o,,9,angry
d_ex_redash_03_3_33,d_ex_redash_03_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_3_33,False,,7,idle,,3,idle,,1,no,,5,idle,,black,black,1.0,none,,,,,9,angry
