id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_17_03_s_1,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_1,True,IceLand_02,10,10,1.0,bgm_blackgunsmoke_a,anis,1,worry,neon,13,idle,rapi,15,idle,rapunzel,17,idle
d_main_17_03_s_2,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_2,True,,10,10,1.0,,,1,worry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_3,d_main_17_03_s,Self,anis,,Locale_MainScenario:d_main_17_03_s_3,False,,10,10,1.0,,,1,worry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_4,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_4,True,,10,10,1.0,,,1,worry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_5,d_main_17_03_s,Speech,neon,neon,Locale_MainScenario:d_main_17_03_s_5,True,,10,113,1.0,,,1,worry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_6,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_6,True,,113,113,1.0,,,1,angry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_7,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_7,True,,113,113,1.0,,,1,angry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_8,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_8,True,,113,113,1.0,,,1,sad,,13,idle,,15,idle,,17,idle
d_main_17_03_s_9,d_main_17_03_s,Monologue,anis,,Locale_MainScenario:d_main_17_03_s_9,False,,113,113,1.0,,,3,sad,,13,idle,,15,idle,,17,idle
d_main_17_03_s_10,d_main_17_03_s,Speech,neon,neon,Locale_MainScenario:d_main_17_03_s_10,True,,113,S_130,1.0,,,3,sad,,13,idle,,15,idle,,17,idle
d_main_17_03_s_11,d_main_17_03_s,Speech,neon,neon,Locale_MainScenario:d_main_17_03_s_11,True,,S_130,S_130,1.0,,,3,sad,,13,idle,,15,idle,,17,idle
d_main_17_03_s_12,d_main_17_03_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_03_s_12,True,,170,170,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_13,d_main_17_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_03_s_13,True,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_14,d_main_17_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_03_s_14,True,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_15,d_main_17_03_s,Speech,neon,neon,Locale_MainScenario:d_main_17_03_s_15,True,,130,130,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_16,d_main_17_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_03_s_16,True,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_17,d_main_17_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_03_s_17,True,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_18,d_main_17_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_03_s_18,True,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_19,d_main_17_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_03_s_19,True,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_20,d_main_17_03_s,Self,rapi,,Locale_MainScenario:d_main_17_03_s_20,False,,150,150,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_21,d_main_17_03_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_03_s_21,True,,170,170,1.0,,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_22,d_main_17_03_s,Self,rapunzel,,Locale_MainScenario:d_main_17_03_s_22,False,,170,170,1.0,none,,3,void,,13,idle,,15,idle,,17,idle
d_main_17_03_s_23,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_23,True,,170,30,1.0,bgm_spot_metalacid_a,,3,angry,,13,idle,,15,idle,,17,idle
d_main_17_03_s_24,d_main_17_03_s,Speech,anis,anis,Locale_MainScenario:d_main_17_03_s_24,True,,30,300,0.5,,,3,angry,,13,idle,,15,idle,,17,idle
