id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_40_af_07_1,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_1,True,dancepracticeroom,130,130,1.0,bgm_story_apricot,,,anis,1,idle,mint,13,surprise,prika,15,surprise,,,,
d_main_40_af_07_2,d_main_40_af_07,Speech,prika,prika,Locale_MainScenario:d_main_40_af_07_2,True,,130,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_3,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_3,True,,1315,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_4,d_main_40_af_07,Speech,prika,prika,Locale_MainScenario:d_main_40_af_07_4,True,,1315,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_5,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_5,True,,1315,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_6,d_main_40_af_07,Speech,prika,prika,Locale_MainScenario:d_main_40_af_07_6,True,,1315,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_7,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_7,True,,1315,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_8,d_main_40_af_07,Speech,prika,prika,Locale_MainScenario:d_main_40_af_07_8,True,,1315,1315,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_9,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_9,True,,1315,113,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_10,d_main_40_af_07,Speech,anis,anis,Locale_MainScenario:d_main_40_af_07_10,True,,113,113,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_11,d_main_40_af_07,Speech,prika,prika,Locale_MainScenario:d_main_40_af_07_11,True,,L_150,L_150,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_12,d_main_40_af_07,Speech,anis,anis,Locale_MainScenario:d_main_40_af_07_12,True,,10,10,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_13,d_main_40_af_07,Speech,anis,anis,Locale_MainScenario:d_main_40_af_07_13,True,,10,100,1.0,,,,,1,delight,,13,surprise,,15,surprise,,,,
d_main_40_af_07_14,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_14,True,,100,1300,1.0,,,,,1,delight,,13,surprise,,15,surprise,,,,
d_main_40_af_07_15,d_main_40_af_07,Speech,anis,anis,Locale_MainScenario:d_main_40_af_07_15,True,,1300,113,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_16,d_main_40_af_07,Speech,anis,anis,Locale_MainScenario:d_main_40_af_07_16,True,,113,113,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_17,d_main_40_af_07,Speech,mint,mint,Locale_MainScenario:d_main_40_af_07_17,True,,113,113,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
d_main_40_af_07_18,d_main_40_af_07,Speech,anis,anis,Locale_MainScenario:d_main_40_af_07_18,True,,113,10,1.0,,,,,1,idle,,13,surprise,,15,surprise,,,,
