id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake,set_filter_01
d_main_26_7_s_1,d_main_26_07_s,Narration,Locale_MainScenario:d_main_26_7_s_1,False,redhood,1,think,anis,13,void,neon,15,idle,RuinIndoor,7,7,1.0,sfx_scn_stepdust,bgm_highnoon,,,,,,,,,,,
d_main_26_7_s_2,d_main_26_07_s,Monologue,Locale_MainScenario:d_main_26_7_s_2,False,,1,think,,13,void,,15,idle,,7,7,1.0,,,,,,,,,,,,,
d_main_26_7_s_3,d_main_26_07_s,Monologue,Locale_MainScenario:d_main_26_7_s_3,False,,1,think,,13,void,,15,idle,,7,10,1.0,,,,,,,,,,,,,
d_main_26_7_s_4,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_4,True,,1,think,,13,void,,15,idle,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_5,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_5,True,,1,think,,13,void,,15,idle,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_6,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_6,True,,1,think,,13,void,,15,idle,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_7,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_7,True,,1,think,,13,void,,15,idle,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_8,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_8,True,,1,think,,13,void,,15,idle,,10,1,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_9,d_main_26_07_s,Monologue,Locale_MainScenario:d_main_26_7_s_9,False,,1,think,,13,void,,15,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_26_7_s_10,d_main_26_07_s,Monologue,Locale_MainScenario:d_main_26_7_s_10,False,,1,idle,,13,void,,15,idle,,1,10,1.0,,,,,,,,,,,,,
d_main_26_7_s_11,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_11,True,,1,idle,,13,void,,15,idle,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_12,d_main_26_07_s,Monologue,Locale_MainScenario:d_main_26_7_s_12,False,,1,idle,,13,void,,15,idle,EventScene_Chap_26_03,10,1,1.0,,,,,redhood,anis,neon,,,,,,
d_main_26_7_s_13,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_13,True,,,,,,,,,,,1,1,1.0,,,dorothy,dorothy,,,,,,,,,
d_main_26_7_s_14,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_14,True,,,,,,,,,,,1,1,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_15,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_15,True,,,,,,,,,,,1,1,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_16,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_16,True,,,,,,,,,,,1,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_17,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_17,True,,,,,,,,,,,10,10,1.0,,,dorothy,dorothy,,,,,,,,,
d_main_26_7_s_18,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_18,True,,,,,,,,,,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_19,d_main_26_07_s,Narration,Locale_MainScenario:d_main_26_7_s_19,False,,,,,,,,,,,10,10,1.0,sfx_scn_tapebutton,,,,,,,,,,,,
d_main_26_7_s_20,d_main_26_07_s,Narration,Locale_MainScenario:d_main_26_7_s_20,False,,,,,,,,,,,10,10,1.0,sfx_scn_crackle,,,,,,,,,,,,
d_main_26_7_s_21,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_21,False,,,,,,,,,,,10,10,1.0,,,redhood,redhood,,,,,,,,,
d_main_26_7_s_22,d_main_26_07_s,Speech,Locale_MainScenario:d_main_26_7_s_22,False,,,,,,,,,,,10,10,1.0,,,dorothy,dorothy,,,,,,,,,
