id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_modernbar_04_1,d_ex_modernbar_04,Monologue,Locale_SuddenStory:d_ex_modernbar_04_1,False,Bar,15,5,3.0,none,,,,,,,,,,,,,
d_ex_modernbar_04_2,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_2,True,,5,5,1.0,,dolla,dolla,dolla,5,good,,,,,,,,
d_ex_modernbar_04_3,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_3,True,,5,5,1.0,,dolla,dolla,,5,good,,,,,,,,
d_ex_modernbar_04_4,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_4,False,,5,5,1.0,,,,,5,idle,,,,,,,,
d_ex_modernbar_04_5,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_5,True,,5,5,1.0,,dolla,dolla,,5,idle,,,,,,,,
d_ex_modernbar_04_6,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_6,True,,5,S_50,2.0,,dolla,dolla,,5,idle,,,,,,,,
d_ex_modernbar_04_7,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_7,False,,S_50,S_50,1.0,,,,,5,idle,,,,,,,,
d_ex_modernbar_04_8,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_8,True,,S_50,1315,1.0,,dolla,dolla,,5,idle,laplace,13,idle,noise,15,idle,,
d_ex_modernbar_04_9,d_ex_modernbar_04,Monologue,Locale_SuddenStory:d_ex_modernbar_04_9,False,,1315,1315,1.0,,,,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_10,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_10,False,,1315,5,2.0,,,,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_11,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_11,True,,5,5,1.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_12,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_12,True,,5,5,1.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_13,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_13,True,,1315,1315,1.0,bgm_story_tuffguys,laplace,laplace,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_14,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_14,True,,1315,S_130,0.5,,laplace,laplace,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_15,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_15,True,,S_130,S_1300,0.5,,laplace,laplace,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_16,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_16,True,,S_1300,S_1300,1.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_17,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_17,True,,S_1300,1315,1.0,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_18,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_18,True,,1315,1315,1.0,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_19,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_19,True,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_20,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_20,True,,1315,150,0.5,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_21,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_21,False,,150,S_130,2.0,,laplace,laplace,,5,idle,,13,think,,15,angry,,
d_ex_modernbar_04_22,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_22,True,,S_130,S_1300,0.5,,laplace,laplace,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_23,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_23,True,,1500,1500,1.0,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_24,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_24,False,,1500,5,2.0,,dolla,dolla,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_25,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_25,True,,5,5,1.0,,dolla,dolla,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_26,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_26,True,,5,5,1.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_27,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_27,True,,5,S_50,1.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_28,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_28,True,,S_50,S_50,1.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_29,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_29,True,,S_50,S_500,2.0,,dolla,dolla,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_30,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_30,False,,S_500,S_500,1.0,,,,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_31,d_ex_modernbar_04,Monologue,Locale_SuddenStory:d_ex_modernbar_04_31,False,,S_500,1315,2.0,,,,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_32,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_32,True,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_33,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_33,True,,1315,1315,1.0,,noise,noise,,5,idle,,13,idle,,15,sad,,
d_ex_modernbar_04_34,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_34,False,,1315,1315,1.0,,,,,5,idle,,13,idle,,15,sad,,
d_ex_modernbar_04_35,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_35,True,,S_130,S_130,1.0,,laplace,laplace,,5,idle,,13,delight,,15,idle,,
d_ex_modernbar_04_36,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_36,True,,150,150,1.0,,noise,noise,,5,idle,,13,delight,,15,idle,,
d_ex_modernbar_04_37,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_37,False,,150,150,1.0,,,,,5,idle,,13,delight,,15,idle,,
d_ex_modernbar_04_38,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_38,True,,S_130,S_1300,1.0,,laplace,laplace,,5,idle,,13,delight,,15,idle,,
d_ex_modernbar_04_39,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_39,True,,150,1500,1.0,,noise,noise,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_40,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_40,True,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_41,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_41,True,,1315,1315,1.0,,noise,noise,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_42,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_42,False,,1315,1315,1.0,,,,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_43,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_43,True,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,idle,,15,smile,,
