id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_ex_cafe_07_1,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_1,True,Cafe,S_30,S_30,1.0,none,,,ludmilla_w,9,idle,,mica_w,7,idle,,sugar,5,idle,,milk,3,good,,frima,1,idle,
d_ex_cafe_07_2,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_2,True,,S_50,S_50,1.0,bgm_story_leisuretime,,,,9,idle,,,7,idle,,,5,idle,,,3,good,,,1,idle,
d_ex_cafe_07_3,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_3,True,,10,10,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_4,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_4,True,,8,8,1.0,,,,,9,idle,,,7,delight,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_5,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_5,True,,8,8,1.0,,,,,9,idle,,,7,delight,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_6,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_6,True,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_7,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_7,False,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_8,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_8,False,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_9,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_9,True,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_10,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_10,True,,8,8,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_11,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_11,True,,5,5,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_12,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_12,True,,5,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_13,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_13,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_14,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_14,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_15,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_15,False,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_16,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_16,False,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_17,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_17,True,,10,10,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_18,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_18,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_19,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_19,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_20,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_20,True,,8,8,1.0,,,,,9,smile,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_21,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_21,True,,8,8,1.0,,,,,9,smile,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_ex_cafe_07_22,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_22,False,,8,8,1.0,,,,,9,smile,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
