id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,play_sound,fade
d_main_29_07_e_1,d_main_29_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_e_1,True,elegg,1,think,rapi,3,idle,anis,5,void,CrystalField_1,1,1,1.0,bgm_chapter29_field_drifting,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_2,d_main_29_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_e_2,True,,1,think,,3,idle,,5,void,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_3,d_main_29_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_e_3,True,,1,pain,,3,idle,,5,void,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_4,d_main_29_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_e_4,True,,1,pain,,3,idle,,5,void,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_5,d_main_29_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_e_5,True,,1,think,,3,angry,,5,angry,,1,4,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_6,d_main_29_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_e_6,True,,1,think,,3,angry,,5,angry,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_7,d_main_29_07_e,Speech,anis,anis,Locale_MainScenario:d_main_29_07_e_7,True,,1,think,,3,angry,,5,angry,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_8,d_main_29_07_e,Monologue,,,Locale_MainScenario:d_main_29_07_e_8,False,,1,think,,3,angry,,5,angry,EventScene_Chap_29_01,4,1,1.0,,elegg,rapi,anis,,,,,,,,,,,,,,,,,,
d_main_29_07_e_9,d_main_29_07_e,Monologue,,,Locale_MainScenario:d_main_29_07_e_9,False,,,,,,,,,,,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_10,d_main_29_07_e,Speech,unknown_grave,unknown_grave,Locale_MainScenario:d_main_29_07_e_10,True,,,,,,,,,,,1,1,1.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_11,d_main_29_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_e_11,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_12,d_main_29_07_e,Self,,,Locale_MainScenario:d_main_29_07_e_12,False,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_29_07_e_13,d_main_29_07_e,Self,,,Locale_MainScenario:d_main_29_07_e_13,False,neon,7,idle,anis,5,void,rapi,3,idle,CrystalField_1,1,4,1.0,,,,,elegg,1,idle,fragile,13,idle,drilley,15,angry,,,,,,,,,
d_main_29_07_e_14,d_main_29_07_e,Speech,anis,anis,Locale_MainScenario:d_main_29_07_e_14,True,,7,idle,,5,worry,,3,idle,,4,4,1.0,,,,,,1,idle,,13,idle,,15,angry,,,,,,,,,
d_main_29_07_e_15,d_main_29_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_e_15,True,,7,idle,,5,worry,,3,idle,,4,4,1.0,,,,,,1,idle,,13,idle,,15,angry,,,,,,,,,
d_main_29_07_e_16,d_main_29_07_e,Speech,neon,neon,Locale_MainScenario:d_main_29_07_e_16,True,,7,idle,,5,worry,,3,idle,,4,6,1.0,,,,,,1,idle,,13,idle,,15,angry,,,,,,,,,
d_main_29_07_e_17,d_main_29_07_e,Speech,neon,neon,Locale_MainScenario:d_main_29_07_e_17,True,,7,idle,,5,worry,,3,idle,,6,6,1.0,,,,,,1,idle,,13,idle,,15,angry,,,,,,,,,
d_main_29_07_e_18,d_main_29_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_07_e_18,True,,7,idle,,5,void,,3,idle,,6,6,1.0,,,,,,1,idle,,13,idle,,15,angry,shifty,OP_leftup,idle,,,,,,
d_main_29_07_e_19,d_main_29_07_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_07_e_19,True,,7,idle,,5,void,,3,idle,,14,14,1.0,,,,,,1,idle,,13,idle,,15,angry,,OP_leftup,idle,shifty,,,,,
