id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_shopping_10_1,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_1,True,ShoppingMall,12,12,1.0,bgm_story_overjoy,,,,,rupee,12,idle
d_ex_shopping_10_2,d_ex_shopping_10,Narration,rupee,,Locale_SuddenStory:d_ex_shopping_10_2,False,,12,L_120,1.3,,sfx_scn_perfume,,,,,12,idle
d_ex_shopping_10_3,d_ex_shopping_10,Monologue,rupee,,Locale_SuddenStory:d_ex_shopping_10_3,False,,L_120,L_120,1.0,,,,,,,12,idle
d_ex_shopping_10_4,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_4,True,,L_120,L_120,1.0,,,,,,,12,idle
d_ex_shopping_10_5,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_5,True,,L_120,L_120,1.0,,,,,,,12,idle
d_ex_shopping_10_6,d_ex_shopping_10,Self,rupee,,Locale_SuddenStory:d_ex_shopping_10_6,False,,L_120,L_120,1.0,,,,,,,12,idle
d_ex_shopping_10_7,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_7,True,,L_120,L_120,1.0,,,,,,,12,angry
d_ex_shopping_10_8,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_8,True,,L_120,L_120,1.0,,,,,,,12,angry
d_ex_shopping_10_9,d_ex_shopping_10,Self,rupee,,Locale_SuddenStory:d_ex_shopping_10_9,False,,L_120,L_120,1.0,,,,,,,12,angry
d_ex_shopping_10_10,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_10,True,,L_120,L_120,1.0,,,,,,,12,sad
d_ex_shopping_10_11,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_11,True,,L_120,L_120,1.0,,,,,,,12,idle
d_ex_shopping_10_12,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_12,True,,L_120,L_120,1.0,,,,,,,12,idle
d_ex_shopping_10_13,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_13,True,,L_120,L_120,1.0,,,,,,,12,surprise
d_ex_shopping_10_14,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_14,True,,L_120,L_120,1.0,,,,,,,12,surprise
d_ex_shopping_10_15,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_15,True,,L_120,20,1.3,,,flora,2,idle,,12,surprise
d_ex_shopping_10_16,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_16,True,,20,20,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_17,d_ex_shopping_10,Self,flora,,Locale_SuddenStory:d_ex_shopping_10_17,False,,20,20,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_18,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_18,True,,20,20,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_19,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_19,True,,20,1,1.3,,,,2,delight,,12,surprise
d_ex_shopping_10_20,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_20,True,,1,1,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_21,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_21,True,,1,1,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_22,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_22,True,,1,1,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_23,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_23,True,,1,1,1.0,,,,2,delight,,12,surprise
d_ex_shopping_10_24,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_24,True,,1,1,1.0,,,,2,delight,,12,idle
d_ex_shopping_10_25,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_25,True,,1,1,1.0,,,,2,idle,,12,idle
d_ex_shopping_10_26,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_26,True,,1,1,1.0,,,,2,idle,,12,idle
d_ex_shopping_10_27,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_27,True,,1,1,1.0,,,,2,idle,,12,idle
d_ex_shopping_10_28,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_28,True,,1,1,1.0,,,,2,idle,,12,idle
d_ex_shopping_10_29,d_ex_shopping_10,Speech,rupee,rupee,Locale_SuddenStory:d_ex_shopping_10_29,True,,1,1,1.0,,,,2,idle,,12,idle
d_ex_shopping_10_30,d_ex_shopping_10,Speech,flora,flora,Locale_SuddenStory:d_ex_shopping_10_30,True,,1,1,1.0,,,,2,idle,,12,idle
