id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,jump_target
d_subquest_1161_1,d_subquest_1161,Speech,anis,anis,Locale_SubScenario:d_subquest_1161_1,True,anis,3,void,neon,1,idle,rapi,13,idle,Factory,3,30,2.0,none,,,,
d_subquest_1161_2,d_subquest_1161,Speech,anis,anis,Locale_SubScenario:d_subquest_1161_2,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,bgm_story_breakaway,,,,
d_subquest_1161_3,d_subquest_1161,Speech,neon,neon,Locale_SubScenario:d_subquest_1161_3,False,,3,idle,,1,surprise,,13,idle,,30,S_10,0.5,,,,,
d_subquest_1161_4,d_subquest_1161,Speech,neon,neon,Locale_SubScenario:d_subquest_1161_4,True,,3,idle,,1,surprise,,13,idle,,S_10,S_10,1.0,,,,,
d_subquest_1161_5,d_subquest_1161,Speech,neon,neon,Locale_SubScenario:d_subquest_1161_5,True,,3,idle,,1,no,,13,idle,,S_10,S_100,1.0,,,,,
d_subquest_1161_6,d_subquest_1161,Speech,anis,anis,Locale_SubScenario:d_subquest_1161_6,True,,3,no,,1,no,,13,idle,,30,30,1.0,,,,,
d_subquest_1161_7,d_subquest_1161,Speech,anis,anis,Locale_SubScenario:d_subquest_1161_7,True,,3,no,,1,no,,13,idle,,30,30,1.0,,,,,
d_subquest_1161_8,d_subquest_1161,Speech,neon,neon,Locale_SubScenario:d_subquest_1161_8,True,,3,no,,1,worry,,13,idle,,30,S_10,1.0,,,,,
d_subquest_1161_9,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_9,True,,3,idle,,1,worry,,13,idle,,S_10,130,1.0,,,,,
d_subquest_1161_10,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_10,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,,
d_subquest_1161_11,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_11,True,,3,idle,,1,idle,,13,worry,,130,130,1.0,,,,,
d_subquest_1161_12,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_12,True,,3,idle,,1,idle,,13,worry,,130,130,1.0,,,,,
d_subquest_1161_13,d_subquest_1161,Self,rapi,Self,Locale_SubScenario:d_subquest_1161_13,False,,3,idle,,1,idle,,13,worry,,130,130,1.0,,,,,
d_subquest_1161_14,d_subquest_1161,Self,rapi,Self,Locale_SubScenario:d_subquest_1161_14,False,,3,idle,,1,idle,,13,worry,,130,130,1.0,,,,,
d_subquest_1161_15,d_subquest_1161,Speech,anis,anis,Locale_SubScenario:d_subquest_1161_15,True,,3,worry,,1,idle,,13,idle,,30,30,1.0,,,,,
d_subquest_1161_16,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_16,True,,3,worry,,1,idle,,13,idle,,30,13,2.0,,,,,
d_subquest_1161_17,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_17,True,,3,worry,,1,idle,,13,idle,,13,13,1.0,,,,,
d_subquest_1161_18,d_subquest_1161,Narration,rapi,Narration,Locale_SubScenario:d_subquest_1161_18,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,none,,,,
d_subquest_1161_19,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_19,True,,3,idle,,1,idle,,13,angry,,13,130,0.5,bgm_spot_counterattack,fx_Eventscene_camera_recording,rec,True,
d_subquest_1161_20,d_subquest_1161,Choice,rapi,,Locale_SubScenario:d_subquest_1161_20,False,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,,,d_subquest_1161_22
d_subquest_1161_21,d_subquest_1161,Choice,rapi,,Locale_SubScenario:d_subquest_1161_21,False,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,,,d_subquest_1161_22
d_subquest_1161_22,d_subquest_1161,Speech,anis,anis,Locale_SubScenario:d_subquest_1161_22,True,,3,shy,,1,idle,,13,angry,,130,30,1.0,,,,,
d_subquest_1161_23,d_subquest_1161,Speech,neon,neon,Locale_SubScenario:d_subquest_1161_23,True,,3,shy,,1,worry,,13,angry,,30,S_10,1.0,,,,,
d_subquest_1161_24,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_24,True,,3,idle,,1,worry,,13,think,,S_10,130,1.0,,,,,
d_subquest_1161_25,d_subquest_1161,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1161_25,True,,3,idle,,1,worry,,13,idle,,130,130,1.0,,,,,
