id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade
d_ex_wingofvictory_07_1,d_ex_wingofvictory_07,Speech,moran,moran,Locale_SuddenStory:d_ex_wingofvictory_07_1,True,moran,15,idle,biscuit,13,idle,max,1,idle,puppies,3,idle,WingOfVictory,15,150,1.0,bgm_story_orangepop,,
d_ex_wingofvictory_07_2,d_ex_wingofvictory_07,Speech,moran,moran,Locale_SuddenStory:d_ex_wingofvictory_07_2,True,,15,idle,,13,idle,,1,idle,,3,idle,,150,150,1.0,,,
d_ex_wingofvictory_07_3,d_ex_wingofvictory_07,Speech,max,max,Locale_SuddenStory:d_ex_wingofvictory_07_3,True,,15,idle,,13,idle,,1,idle,,3,idle,,max_10,max_10,1.0,,,
d_ex_wingofvictory_07_4,d_ex_wingofvictory_07,Speech,puppies,puppies,Locale_SuddenStory:d_ex_wingofvictory_07_4,True,,15,idle,,13,idle,,1,idle,,3,idle,,XS_30,XS_30,1.0,,,
d_ex_wingofvictory_07_5,d_ex_wingofvictory_07,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_wingofvictory_07_5,True,,15,idle,,13,idle,,1,idle,,3,idle,,XS_130,XS_130,1.0,,,
d_ex_wingofvictory_07_6,d_ex_wingofvictory_07,Speech,moran,moran,Locale_SuddenStory:d_ex_wingofvictory_07_6,True,,15,delight,,13,idle,,1,idle,,3,idle,,XS_130,150,1.0,,,
d_ex_wingofvictory_07_7,d_ex_wingofvictory_07,Speech,moran,moran,Locale_SuddenStory:d_ex_wingofvictory_07_7,True,,15,delight,,13,idle,,1,idle,,3,idle,,150,150,1.0,,,
d_ex_wingofvictory_07_8,d_ex_wingofvictory_07,Speech,moran,moran,Locale_SuddenStory:d_ex_wingofvictory_07_8,True,,15,delight,,13,idle,,1,idle,,3,idle,,150,150,1.0,,,
d_ex_wingofvictory_07_9,d_ex_wingofvictory_07,Self,,,Locale_SuddenStory:d_ex_wingofvictory_07_9,False,,15,delight,,13,idle,,1,idle,,3,idle,,150,150,1.0,,,
d_ex_wingofvictory_07_10,d_ex_wingofvictory_07,Monologue,,,Locale_SuddenStory:d_ex_wingofvictory_07_10,False,,15,delight,,13,idle,,1,idle,,3,idle,,150,XS_130,1.0,,,
