id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,jump_target
d_main_16_07_1,d_main_16_07,Speech,neon,neon,Locale_MainScenario:d_main_16_07_1,True,neon,6,surprise,anis,4,void,IceLand_03,6,S_60,1.0,bgm_secondhand,,,,,,,,
d_main_16_07_2,d_main_16_07,Speech,neon,neon,Locale_MainScenario:d_main_16_07_2,True,,6,delight,,4,void,,S_60,S_60,1.0,,,,,,,,,
d_main_16_07_3,d_main_16_07,Speech,anis,anis,Locale_MainScenario:d_main_16_07_3,True,,6,delight,,4,worry,,S_60,40,1.0,,,,,,,,,
d_main_16_07_4,d_main_16_07,Narration,,Narration,Locale_MainScenario:d_main_16_07_4,False,,6,idle,,4,worry,,40,5,1.0,,sfx_scn_phonevibration,,,,,,,
d_main_16_07_5,d_main_16_07,Monologue,,,Locale_MainScenario:d_main_16_07_5,False,,6,idle,,4,void,,5,5,1.0,,,,,,,,,
d_main_16_07_6,d_main_16_07,Monologue,,,Locale_MainScenario:d_main_16_07_6,False,,6,idle,,4,void,,5,5,1.0,,,m_main_16_07,,,,,,
d_main_16_07_7,d_main_16_07,Monologue,,,Locale_MainScenario:d_main_16_07_7,False,,6,idle,,4,void,,5,5,1.0,,,,,,,,,
d_main_16_07_8,d_main_16_07,Monologue,,,Locale_MainScenario:d_main_16_07_8,False,,6,idle,,4,void,,5,5,1.0,,,,viper,1,idle,,,
d_main_16_07_9,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_9,True,,6,idle,,4,void,,5,1,1.0,,,,,1,idle,,,
d_main_16_07_10,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_10,True,,6,idle,,4,void,,1,1,1.0,,,,,1,idle,neon,anis,
d_main_16_07_11,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_11,True,,,,,,,,1,10,1.0,,,,,1,delight,,,
d_main_16_07_12,d_main_16_07,Choice,viper,,Locale_MainScenario:d_main_16_07_12,False,,,,,,,,10,10,1.0,,,,,1,delight,,,d_main_16_07_17
d_main_16_07_13,d_main_16_07,Choice,viper,,Locale_MainScenario:d_main_16_07_13,False,,,,,,,,10,10,1.0,,,,,1,delight,,,d_main_16_07_14
d_main_16_07_14,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_14,False,,,,,,,,10,10,1.0,,,,,1,shy,,,
d_main_16_07_15,d_main_16_07,Monologue,viper,,Locale_MainScenario:d_main_16_07_15,False,,,,,,,,10,10,2.0,,,,,1,shy,,,
d_main_16_07_16,d_main_16_07,Monologue,viper,,Locale_MainScenario:d_main_16_07_16,False,,,,,,,,10,10,1.0,,,,,1,shy,,,
d_main_16_07_17,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_17,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_18,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_18,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_19,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_19,True,,,,,,,,10,10,1.0,,,,,1,angry,,,
d_main_16_07_20,d_main_16_07,Self,viper,Self,Locale_MainScenario:d_main_16_07_20,False,,,,,,,,10,10,1.0,,,,,1,angry,,,
d_main_16_07_21,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_21,True,,,,,,,,10,10,1.0,,,,,1,shy,,,
d_main_16_07_22,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_22,True,,,,,,,,10,10,1.0,,,,,1,shy,,,
d_main_16_07_23,d_main_16_07,Self,viper,Self,Locale_MainScenario:d_main_16_07_23,False,,,,,,,,10,10,1.0,,,,,1,shy,,,
d_main_16_07_24,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_24,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_25,d_main_16_07,Monologue,viper,,Locale_MainScenario:d_main_16_07_25,False,,,,,,,,10,100,2.0,,,,,1,idle,,,
d_main_16_07_26,d_main_16_07,Monologue,viper,,Locale_MainScenario:d_main_16_07_26,False,,,,,,,,100,100,1.0,,,,,1,delight,,,
d_main_16_07_27,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_27,True,,,,,,,,100,100,1.0,,,,,1,delight,,,
d_main_16_07_28,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_28,True,,,,,,,,100,100,1.0,,,,,1,delight,,,
d_main_16_07_29,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_29,True,,,,,,,,100,100,1.0,,,,,1,delight,,,
d_main_16_07_30,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_30,True,,,,,,,,100,10,1.0,,,,,1,shy,,,
d_main_16_07_31,d_main_16_07,Choice,viper,,Locale_MainScenario:d_main_16_07_31,False,,,,,,,,10,10,1.0,,,,,1,shy,,,d_main_16_07_33
d_main_16_07_32,d_main_16_07,Choice,viper,,Locale_MainScenario:d_main_16_07_32,False,,,,,,,,10,10,1.0,,,,,1,shy,,,d_main_16_07_34
d_main_16_07_33,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_33,True,,,,,,,,10,10,1.0,,,,,1,idle,,,d_main_16_07_37
d_main_16_07_34,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_34,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_35,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_35,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_36,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_36,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_37,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_37,True,,,,,,,,10,10,1.0,,,,,1,idle,,,
d_main_16_07_38,d_main_16_07,Speech,viper,viper,Locale_MainScenario:d_main_16_07_38,True,,,,,,,,10,100,2.0,,,,,1,good,,,
