id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_filter_01,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_ex_trainstation_07_1,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_1,False,Station,12,12,1.0,bgm_story_sundayintheark,,,,,,,,,,,,,,,,,,
d_ex_trainstation_07_2,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_2,True,,12,12,1.0,,diesel,diesel,diesel,1,idle,soline,13,idle,,,,,,,,,,
d_ex_trainstation_07_3,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_3,True,,12,12,1.0,,soline,soline,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_4,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_4,True,,12,12,1.0,,diesel,diesel,,1,worry,,13,idle,,,,,,,,,,
d_ex_trainstation_07_5,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_5,False,,12,12,1.0,,diesel,,,1,worry,,13,idle,,,,,,,,,,
d_ex_trainstation_07_6,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_6,True,,12,10,1.0,,diesel,diesel,,1,worry,,13,idle,,,,,,,,,,
d_ex_trainstation_07_7,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_7,True,,10,10,1.0,,diesel,diesel,,1,worry,,13,idle,,,,,,,,,,
d_ex_trainstation_07_8,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_8,True,,10,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_9,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_9,False,,10,10,1.0,,diesel,,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_10,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_10,True,,10,S_130,1.0,,soline,soline,,1,idle,,13,angry,,,,,,,,,,
