id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_church_09_1,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_1,True,phantom,1,no,Church,L_100,L_100,1.0,bgm_story_whosdumber,,,,,,
d_ex_church_09_2,d_ex_church_09,Narration,phantom,,Locale_SuddenStory:d_ex_church_09_2,False,,1,idle,,L_100,L_10,0.5,,,,,,,
d_ex_church_09_3,d_ex_church_09,Narration,phantom,,Locale_SuddenStory:d_ex_church_09_3,False,,1,delight,,L_10,L_10,1.0,,,,,,,
d_ex_church_09_4,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_4,True,,1,delight,,L_10,L_10,1.0,,,,,,,
d_ex_church_09_5,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_5,True,,1,delight,,L_10,L_10,1.0,,,,,,,
d_ex_church_09_6,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_6,False,,1,idle,,L_10,L_10,1.0,,,,,,,
d_ex_church_09_7,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_7,True,,1,idle,,L_10,L_10,1.0,,,,,,,
d_ex_church_09_8,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_8,True,,1,idle,,L_10,L_10,1.0,,,,,,,
d_ex_church_09_9,d_ex_church_09,Narration,phantom,,Locale_SuddenStory:d_ex_church_09_9,False,,1,idle,,L_10,L_10,1.0,,sfx_scn_windowrattle,,,,,
d_ex_church_09_10,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_10,True,,1,idle,,L_10,L_100,1.0,,,,,,,
d_ex_church_09_11,d_ex_church_09,Narration,phantom,,Locale_SuddenStory:d_ex_church_09_11,False,,1,idle,,L_100,L_100,1.0,none,sfx_scn_doorclose,,,,,
d_ex_church_09_12,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_12,False,,1,idle,,L_100,L_100,1.0,,,,,,,
d_ex_church_09_13,d_ex_church_09,Speech,phantom,phantom,Locale_SuddenStory:d_ex_church_09_13,True,,1,no,,L_100,L_100,1.0,,,,,,,
d_ex_church_09_14,d_ex_church_09,Narration,phantom,,Locale_SuddenStory:d_ex_church_09_14,False,,1,no,,black,black,1.0,,,phantom,,,,
d_ex_church_09_15,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_15,True,,,,,XS_1300,XS_1300,1.0,bgm_inark,,,vesti_t,13,delight,
d_ex_church_09_16,d_ex_church_09,Self,vesti_t,,Locale_SuddenStory:d_ex_church_09_16,False,,,,,XS_1300,XS_1300,1.0,,,,,13,delight,
d_ex_church_09_17,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_17,True,,,,,XS_1300,XS_130,1.0,,,,,13,idle,
d_ex_church_09_18,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_18,True,,,,,XS_130,XS_130,1.0,,,,,13,idle,
d_ex_church_09_19,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_19,True,,,,,XS_130,XS_130,1.0,,,,,13,idle,
d_ex_church_09_20,d_ex_church_09,Self,vesti_t,,Locale_SuddenStory:d_ex_church_09_20,False,,,,,XS_130,XS_130,1.0,,,,,13,idle,
d_ex_church_09_21,d_ex_church_09,Self,vesti_t,,Locale_SuddenStory:d_ex_church_09_21,False,,,,,XS_130,XS_130,1.0,,,,,13,idle,
d_ex_church_09_22,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_22,True,,,,,XS_130,XS_1300,0.7,,,,,13,idle,
d_ex_church_09_23,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_23,True,,,,,XS_1300,XS_1300,1.0,,,,,13,idle,
d_ex_church_09_24,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_24,True,,,,,XS_1300,XS_1300,1.0,,,,,13,idle,
d_ex_church_09_25,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_25,True,,,,,XS_1300,XS_1300,1.0,,,,,13,idle,
d_ex_church_09_26,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_26,True,,,,,XS_1300,XS_1300,1.0,,,,,13,idle,
d_ex_church_09_27,d_ex_church_09,Self,vesti_t,,Locale_SuddenStory:d_ex_church_09_27,False,,,,,XS_1300,XS_1300,1.0,,,,,13,idle,
d_ex_church_09_28,d_ex_church_09,Narration,vesti_t,,Locale_SuddenStory:d_ex_church_09_28,False,,,,,XS_1300,XS_1300,1.0,,sfx_scn_sofasheet,,,13,idle,
d_ex_church_09_29,d_ex_church_09,Speech,vesti_t,phantom,Locale_SuddenStory:d_ex_church_09_29,False,,,,,XS_1300,XS_1300,1.0,none,,,,13,idle,
d_ex_church_09_30,d_ex_church_09,Self,vesti_t,,Locale_SuddenStory:d_ex_church_09_30,False,,,,,XS_1300,XS_1300,1.0,,,,,13,idle,
d_ex_church_09_31,d_ex_church_09,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_church_09_31,False,,,,,XS_1300,XS_130,1.0,,,,,13,idle,
