id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_32_08_s_1,d_main_32_08_s,Speech,vesti,vesti,Locale_MainScenario:d_main_32_08_s_1,True,FlowerRoad,XS_30,XS_300,1.0,bgm_chapter32_field_advance,grave_no,1,idle,rapi,13,idle,vesti,3,shy,anis,5,idle,neon,7,idle
d_main_32_08_s_2,d_main_32_08_s,Speech,vesti,vesti,Locale_MainScenario:d_main_32_08_s_2,True,,XS_300,XS_300,1.0,,,1,idle,,13,idle,,3,shy,,5,idle,,7,idle
d_main_32_08_s_3,d_main_32_08_s,Speech,anis,anis,Locale_MainScenario:d_main_32_08_s_3,True,,500,500,1.0,,,1,idle,,13,idle,,3,shy,,5,idle,,7,idle
d_main_32_08_s_4,d_main_32_08_s,Speech,anis,anis,Locale_MainScenario:d_main_32_08_s_4,True,,500,500,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_5,d_main_32_08_s,Speech,neon,neon,Locale_MainScenario:d_main_32_08_s_5,True,,S_700,S_700,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_6,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_6,True,,L_100,L_100,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_7,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_7,True,,L_100,L_10,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_8,d_main_32_08_s,Speech,anis,anis,Locale_MainScenario:d_main_32_08_s_8,True,,50,50,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_9,d_main_32_08_s,Speech,anis,anis,Locale_MainScenario:d_main_32_08_s_9,True,,50,50,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_10,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_10,True,,L_10,L_10,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_11,d_main_32_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_08_s_11,True,,L_10,113,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_12,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_12,True,,113,113,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_13,d_main_32_08_s,Speech,anis,anis,Locale_MainScenario:d_main_32_08_s_13,True,,50,50,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_14,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_14,True,,L_10,L_10,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_15,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_15,True,,L_10,L_10,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_16,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_16,True,,L_10,L_10,1.0,,,1,idle,,13,idle,,3,idle,,5,void,,7,idle
d_main_32_08_s_17,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_17,True,,L_10,L_100,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_18,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_18,True,,L_100,L_100,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_19,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_19,True,,L_100,L_100,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_20,d_main_32_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_08_s_20,True,,L_100,1300,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_21,d_main_32_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_08_s_21,True,,1300,1300,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_22,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_22,True,,L_100,L_100,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_23,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_23,True,,L_100,L_10,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_24,d_main_32_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_08_s_24,True,,L_10,113,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_25,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_25,True,,113,113,1.0,,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle
d_main_32_08_s_26,d_main_32_08_s,Speech,vesti,vesti,Locale_MainScenario:d_main_32_08_s_26,True,,113,31,1.0,,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle
d_main_32_08_s_27,d_main_32_08_s,Speech,vesti,vesti,Locale_MainScenario:d_main_32_08_s_27,True,,31,31,1.0,,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle
d_main_32_08_s_28,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_28,True,,31,31,1.0,,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle
d_main_32_08_s_29,d_main_32_08_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_08_s_29,True,,31,31,1.0,,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle
d_main_32_08_s_30,d_main_32_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_08_s_30,False,,31,113,1.0,,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle
